,beam,class,cleaned_text,class_labels
92,i m doing pretty good do it,5,i m doing pretty good do it,dnq
97,i m little gray,5,i m little gray,dnq
99,i m doing ok,5,i m doing ok,dnq
100,i put it to you right then and call,5,i put it to you right then and call,dnq
105,pete,5,pete,dnq
110,all right then you with,5,all right then you with,dnq
112,vice grace this,5,vice grace this,dnq
113,maka this,5,maka this,dnq
118,i m for what he made great this,5,i m for what he made great this,dnq
129,not a better i,5,not a better i,dnq
132,i m doin fine i have my agent,5,i m doin fine i have my agent,dnq
133,oh i m doin but i m a bog contemplate it in you this,5,oh i m doin but i m a bog contemplate it in you this,dnq
135,done all right this,5,done all right this,dnq
137,enter,5,enter,dnq
138,by this call is about us all regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed designed for the people on fixed income or social security would you like to learn more about cousin,5,by this call is about us all regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed designed for the people on fixed income or social security would you like to learn more about cousin,dnq
141,you try this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses pacifically,5,you try this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses pacifically,dnq
143,make her great,5,make her great,dnq
144,thirty five great,5,thirty five great,dnq
156,no real good tokate,5,no real good tokate,dnq
161,good thank you great this,5,good thank you great this,dnq
162,great drake grace this,5,great drake grace this,dnq
172,i m going to this,5,i m going to this,dnq
173,you bad,5,you bad,dnq
176,on,5,on,dnq
178,unknown,5,unknown,dnq
180,i m lying here on my couch take that,5,i m lying here on my couch take that,dnq
182,r,5,r,dnq
187,in some time thank you,5,in some time thank you,dnq
191,in a most wonderful,5,in a most wonderful,dnq
194,for,5,for,dnq
200,i m good how are you great,5,i m good how are you great,dnq
202,i m going fine thank you great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or creamy and that s already there cerizet i ve already taken care of that about five years ago thank you would you like to learn more about it,5,i m going fine thank you great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or creamy and that s already there cerizet i ve already taken care of that about five years ago thank you would you like to learn more about it,dnq
203,yes bob,5,yes bob,dnq
204,pretty good this calls about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is would you like to learn more about it i completely understand that but these new fordable plans have just been approved no,5,pretty good this calls about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is would you like to learn more about it i completely understand that but these new fordable plans have just been approved no,dnq
206,go far,5,go far,dnq
207,to infer,5,to infer,dnq
209,you ok this,5,you ok this,dnq
214,no this,5,no this,dnq
218,men great,5,men great,dnq
229,all right amy,5,all right amy,dnq
230,i am doing all righ all right,5,i am doing all righ all right,dnq
236,lo who,5,lo who,dnq
243,ak great,5,ak great,dnq
245,once,5,once,dnq
247,i m fine thank you,5,i m fine thank you,dnq
253,please grace,5,please grace,dnq
259,gueret,5,gueret,dnq
261,i ll get,5,i ll get,dnq
264,in what s the message please well we,5,in what s the message please well we,dnq
271,i find it great this call,5,i find it great this call,dnq
272,well i m doing just fine great this,5,well i m doing just fine great this,dnq
279,marvellous this coat a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specific specifically designed for the people on fixed income or social security would you like to learn more about it no because it so security i completely understand that but these new fordable plans have just been approved,5,marvellous this coat a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specific specifically designed for the people on fixed income or social security would you like to learn more about it no because it so security i completely understand that but these new fordable plans have just been approved,dnq
282,i don t i,5,i don t i,dnq
287,fine scrape this,5,fine scrape this,dnq
288,i m well,5,i m well,dnq
289,this one then i,5,this one then i,dnq
297,then by banks great this,5,then by banks great this,dnq
298,aura this,5,aura this,dnq
300,five,5,five,dnq
301,i go far,5,i go far,dnq
304,ye i ll maybe the great,5,ye i ll maybe the great,dnq
306,just fine,5,just fine,dnq
308,all right this,5,all right this,dnq
313,wonderful,5,wonderful,dnq
319,you re doing ok,5,you re doing ok,dnq
320,my man,5,my man,dnq
321,from dover,5,from dover,dnq
323,doing all right,5,doing all right,dnq
324,in fine what is this about great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cream or cream as you know i had this call earlier and i told the person i ve already taken care of that i ve already paid for my funeral everything is thing is taken care of would you like to learn more about it no cause i m not going to do anything more than i already have i ve paid for it are you there,5,in fine what is this about great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cream or cream as you know i had this call earlier and i told the person i ve already taken care of that i ve already paid for my funeral everything is thing is taken care of would you like to learn more about it no cause i m not going to do anything more than i already have i ve paid for it are you there,dnq
331,very well thank you,5,very well thank you,dnq
335,ttodayin fine what do you want this,5,ttodayin fine what do you want this,dnq
344,alone this,5,alone this,dnq
345,well smile this call is about a new state regulated final expense insurance plan which covers a hundred percent of algeria general or national assets it is specifically designed designed for the people on fixed income or social security would you like to learn more about it,5,well smile this call is about a new state regulated final expense insurance plan which covers a hundred percent of algeria general or national assets it is specifically designed designed for the people on fixed income or social security would you like to learn more about it,dnq
346,on some grit i don t get it i don t really,5,on some grit i don t get it i don t really,dnq
348,hallock great,5,hallock great,dnq
349,come down all right,5,come down all right,dnq
351,i m good great this,5,i m good great this,dnq
354,five men great,5,five men great,dnq
355,say is this a bottle here,5,say is this a bottle here,dnq
357,pa,5,pa,dnq
360,find out for thee,5,find out for thee,dnq
361,a pretty good wife great,5,a pretty good wife great,dnq
362,i m girl but the lady s side home thank you every,5,i m girl but the lady s side home thank you every,dnq
363,i m frightened the i don t mean just so but i know all,5,i m frightened the i don t mean just so but i know all,dnq
366,well,5,well,dnq
369,i m frying great,5,i m frying great,dnq
371,fine thank you grace,5,fine thank you grace,dnq
372,by god,5,by god,dnq
377,what s going on with you this,5,what s going on with you this,dnq
379,o you fine grant this,5,o you fine grant this,dnq
381,how do ye i m doing the right to this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral at once missionary one an that one it is caroline oi,5,how do ye i m doing the right to this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral at once missionary one an that one it is caroline oi,dnq
388,aright this,5,aright this,dnq
394,good sometimes great,5,good sometimes great,dnq
399,i m doing fine great this,5,i m doing fine great this,dnq
404,i m doin wonderful,5,i m doin wonderful,dnq
405,all right,5,all right,dnq
411,let you in great this,5,let you in great this,dnq
412,farewell thank you grace this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expend it is now i do not need it i have that paid up now for several years paid in full or racine mad and i don t need any additional benefit i m sorry take me out for your colonies fleet would you like to learn more about it,5,farewell thank you grace this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expend it is now i do not need it i have that paid up now for several years paid in full or racine mad and i don t need any additional benefit i m sorry take me out for your colonies fleet would you like to learn more about it,dnq
416,and i am five great,5,and i am five great,dnq
422,had feeling good,5,had feeling good,dnq
429,in fine and i have all,5,in fine and i have all,dnq
434,defence this call is about a new state rapidity final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically des designed for the people on fixed income or social security would you like to learn more about it no i wouldn t do it for you for please banker a garb that,5,defence this call is about a new state rapidity final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically des designed for the people on fixed income or social security would you like to learn more about it no i wouldn t do it for you for please banker a garb that,dnq
436,hello,5,hello,dnq
439,do good to you cow,5,do good to you cow,dnq
440,very good dick wait,5,very good dick wait,dnq
443,night hello laying,5,night hello laying,dnq
446,thank you for calling it have a god great this,5,thank you for calling it have a god great this,dnq
451,well thank you amy this,5,well thank you amy this,dnq
456,i m drunk,5,i m drunk,dnq
457,fine i live in a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for the people on fixed income or social security would you like to learn more about it i m a seven years old though i think i m too old for it,5,fine i live in a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for the people on fixed income or social security would you like to learn more about it i m a seven years old though i think i m too old for it,dnq
458,ok this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is spiritedly designed for,5,ok this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is spiritedly designed for,dnq
460,i go this,5,i go this,dnq
462,a good where,5,a good where,dnq
464,in calamy hello,5,in calamy hello,dnq
466,would god lo how could,5,would god lo how could,dnq
469,how stupendous this,5,how stupendous this,dnq
470,by,5,by,dnq
471,this call is about a nate regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for the people the people on fixed income or social security would you like to learn more about i d like toknow if they would trouble me if i m a hundred and two,5,this call is about a nate regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for the people the people on fixed income or social security would you like to learn more about i d like toknow if they would trouble me if i m a hundred and two,dnq
473,to grace great this call is,5,to grace great this call is,dnq
479,i am doing good great,5,i am doing good great,dnq
484,allow,5,allow,dnq
487,by great,5,by great,dnq
489,at,5,at,dnq
494,a great man,5,a great man,dnq
498,work,5,work,dnq
503,yes great this,5,yes great this,dnq
510,o god,5,o god,dnq
513,doing pretty good great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically des designed for the note i thank you so great the,5,doing pretty good great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically des designed for the note i thank you so great the,dnq
514,one,5,one,dnq
517,fine water you want i,5,fine water you want i,dnq
523,i m doing fine this call,5,i m doing fine this call,dnq
524,not more isuke this call,5,not more isuke this call,dnq
525,i guess all right,5,i guess all right,dnq
526,age great this,5,age great this,dnq
531,oh i m all right what can i do for you this,5,oh i m all right what can i do for you this,dnq
535,i m doing some fine thing great,5,i m doing some fine thing great,dnq
538,how great grace this call is about a new state regulated final sense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically finally designed for the people on fixed income or security would you like to learn more about it now that every day now every day your pa lightly under them,5,how great grace this call is about a new state regulated final sense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically finally designed for the people on fixed income or security would you like to learn more about it now that every day now every day your pa lightly under them,dnq
539,well i m doing fine fine as you call now you are sure of a state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for the people for the people on fixed income or social security would you like to learn more about yes asta,5,well i m doing fine fine as you call now you are sure of a state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for the people for the people on fixed income or social security would you like to learn more about yes asta,dnq
541,great great this,5,great great this,dnq
542,ma,5,ma,dnq
543,a great find great,5,a great find great,dnq
544,four,5,four,dnq
546,all right this about medical this,5,all right this about medical this,dnq
554,pretty good scrap,5,pretty good scrap,dnq
556,a pretty good i m in great word who is this,5,a pretty good i m in great word who is this,dnq
557,on this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses,5,on this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses,dnq
562,in fine amy are you a senior city citizen great this,5,in fine amy are you a senior city citizen great this,dnq
563,is fine,5,is fine,dnq
564,ger and you this,5,ger and you this,dnq
565,i m okay how can i help,5,i m okay how can i help,dnq
566,i m for it great,5,i m for it great,dnq
567,fair,5,fair,dnq
568,got it but already have let it out already have,5,got it but already have let it out already have,dnq
571,pretty good great this,5,pretty good great this,dnq
572,dead this,5,dead this,dnq
574,citizens came this call is about a new state regulated final expense insurance plan which covers a hundred feet of our burial funeral or cremation expenses it is would you like to learn more about it,5,citizens came this call is about a new state regulated final expense insurance plan which covers a hundred feet of our burial funeral or cremation expenses it is would you like to learn more about it,dnq
576,i m fat great,5,i m fat great,dnq
577,i m junkin,5,i m junkin,dnq
579,i m just fine great this,5,i m just fine great this,dnq
585,yes great,5,yes great,dnq
586,then ma am great,5,then ma am great,dnq
590,but great,5,but great,dnq
591,i m doing fine thank you great,5,i m doing fine thank you great,dnq
594,i m dragging a little with the cold but as the net i m ok how can i help,5,i m dragging a little with the cold but as the net i m ok how can i help,dnq
601,gregg you must call,5,gregg you must call,dnq
602,ha this,5,ha this,dnq
605,is bad,5,is bad,dnq
607,i m doing well how can i help,5,i m doing well how can i help,dnq
610,good great the cadi a regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for for the people on fixed income or social security would you like to learn more about it no i completely understand that but these new fordable oh no,5,good great the cadi a regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for for the people on fixed income or social security would you like to learn more about it no i completely understand that but these new fordable oh no,dnq
616,i m on,5,i m on,dnq
622,i m fine what do you walk great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses seven years old would you like to learn more about it,5,i m fine what do you walk great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses seven years old would you like to learn more about it,dnq
626,i m fine grape,5,i m fine grape,dnq
636,great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expensive got me i m goin be cremated and i m gone i was on and were about to fail i ve paid for this have i miss,5,great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expensive got me i m goin be cremated and i m gone i was on and were about to fail i ve paid for this have i miss,dnq
637,make what you need great what,5,make what you need great what,dnq
639,loki great this call,5,loki great this call,dnq
640,i m doing good great,5,i m doing good great,dnq
646,i m doing it frank,5,i m doing it frank,dnq
650,oh how can i can i help,5,oh how can i can i help,dnq
652,ma ma,5,ma ma,dnq
654,well i m okay thank you greg this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it along would you like to learn more about it,5,well i m okay thank you greg this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it along would you like to learn more about it,dnq
657,take,5,take,dnq
659,i m all right thank you,5,i m all right thank you,dnq
663,do i know this call is about a new state regulated final expense insurance plan which covers eight hundred or roan or cremation expenses it is illy designed for the people the people on a fixed income or social security would you like to learn more about it,5,do i know this call is about a new state regulated final expense insurance plan which covers eight hundred or roan or cremation expenses it is illy designed for the people the people on a fixed income or social security would you like to learn more about it,dnq
668,i m doing finer amy great,5,i m doing finer amy great,dnq
672,very good very good,5,very good very good,dnq
674,very well,5,very well,dnq
676,go this call,5,go this call,dnq
677,not a word,5,not a word,dnq
679,i got it too good an environment,5,i got it too good an environment,dnq
680,death this,5,death this,dnq
685,go go,5,go go,dnq
686,a great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation cremation expensive it is would you like to learn more about it,5,a great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation cremation expensive it is would you like to learn more about it,dnq
698,now i understand but it s not going to do that you shall want or go to get your latin we bear and you can take your time to make a decision this,5,now i understand but it s not going to do that you shall want or go to get your latin we bear and you can take your time to make a decision this,dnq
699,i m very fine,5,i m very fine,dnq
700,doing fine,5,doing fine,dnq
713,very pretty good great this,5,very pretty good great this,dnq
720,i m not doing good i m holdin i m sittin in bed what do you want,5,i m not doing good i m holdin i m sittin in bed what do you want,dnq
729,hang on i m fine i really it s really nothing this call is about a regulated final expense insurance plan which covers a hundred percent of your burial yes general remission already i already have had thank you very much ogre this call is about a new state regulated final expense insurance plans which covers,5,hang on i m fine i really it s really nothing this call is about a regulated final expense insurance plan which covers a hundred percent of your burial yes general remission already i already have had thank you very much ogre this call is about a new state regulated final expense insurance plans which covers,dnq
730,good i ll get it out yet i m doing great things grasping,5,good i ll get it out yet i m doing great things grasping,dnq
737,are you,5,are you,dnq
738,i m doing fine pike scrape this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cannon family man we ve already got some thank you good by would you like to learn more about it,5,i m doing fine pike scrape this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cannon family man we ve already got some thank you good by would you like to learn more about it,dnq
744,not rita bad,5,not rita bad,dnq
745,can you go,5,can you go,dnq
746,good grace this,5,good grace this,dnq
747,oui,5,oui,dnq
749,fun,5,fun,dnq
752,blank great,5,blank great,dnq
758,grace great,5,grace great,dnq
763,i m fine this,5,i m fine this,dnq
767,i the right,5,i the right,dnq
770,well cried great,5,well cried great,dnq
774,anton great this,5,anton great this,dnq
777,i m doing just fine great,5,i m doing just fine great,dnq
781,alfie,5,alfie,dnq
782,no fine great,5,no fine great,dnq
783,out,5,out,dnq
784,not too bad,5,not too bad,dnq
785,water this,5,water this,dnq
786,elam,5,elam,dnq
787,along a case,5,along a case,dnq
788,i m going to find her,5,i m going to find her,dnq
789,amy i am doing great great this,5,amy i am doing great great this,dnq
791,i m fine you are right,5,i m fine you are right,dnq
794,freda this,5,freda this,dnq
797,what can i do for you,5,what can i do for you,dnq
798,in fantastic penny i m glad you ve come about my finger there great,5,in fantastic penny i m glad you ve come about my finger there great,dnq
800,good what do you need amy great,5,good what do you need amy great,dnq
802,good god this,5,good god this,dnq
804,aright,5,aright,dnq
816,fine thank you this call,5,fine thank you this call,dnq
817,just like yesterday,5,just like yesterday,dnq
822,i m doing fine thank you great this,5,i m doing fine thank you great this,dnq
825,i m going for,5,i m going for,dnq
827,i m fabulous,5,i m fabulous,dnq
829,for no man i m doing good great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is faintly you don t don t go on don t waste your time i m ninety one years old ttodaywould you like to learn more about it no no everything s taken fear of already i can take,5,for no man i m doing good great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is faintly you don t don t go on don t waste your time i m ninety one years old ttodaywould you like to learn more about it no no everything s taken fear of already i can take,dnq
831,a fine,5,a fine,dnq
835,good i,5,good i,dnq
837,good how can you hear,5,good how can you hear,dnq
839,i m doing very well great,5,i m doing very well great,dnq
840,incline oh what did you say you were from,5,incline oh what did you say you were from,dnq
842,i m doing fine great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specie i am not interested and you ve called me before please don t call again i,5,i m doing fine great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specie i am not interested and you ve called me before please don t call again i,dnq
843,again this,5,again this,dnq
847,for good great,5,for good great,dnq
851,find what you want i,5,find what you want i,dnq
852,coquet,5,coquet,dnq
855,on donkey this,5,on donkey this,dnq
858,i m doing too,5,i m doing too,dnq
861,well i do all right,5,well i do all right,dnq
863,to do pretty good great,5,to do pretty good great,dnq
865,ah i m goin fine,5,ah i m goin fine,dnq
869,they will go on a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically illy designed for the people on fixed income or social security would you like to learn more about it,5,they will go on a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically illy designed for the people on fixed income or social security would you like to learn more about it,dnq
871,a great great,5,a great great,dnq
874,no cap great this,5,no cap great this,dnq
879,brigand great this,5,brigand great this,dnq
880,i m done pretty good,5,i m done pretty good,dnq
887,doing fine amy you ve only asked me that three times ttoda,5,doing fine amy you ve only asked me that three times ttoda,dnq
888,doing good to you great,5,doing good to you great,dnq
889,i above not,5,i above not,dnq
892,pretty good for seventeen ten year old great this,5,pretty good for seventeen ten year old great this,dnq
895,pretty good great the,5,pretty good great the,dnq
897,i m doin fine are you do right this call is about a new state regulated final expense insurance plan which covers a hundred percent of your beard i don t go remission expense i don t play too very very fast or would you like to learn more about it,5,i m doin fine are you do right this call is about a new state regulated final expense insurance plan which covers a hundred percent of your beard i don t go remission expense i don t play too very very fast or would you like to learn more about it,dnq
901,i m doing great this,5,i m doing great this,dnq
908,and is in,5,and is in,dnq
910,just fine just fine great,5,just fine just fine great,dnq
912,age this,5,age this,dnq
923,i m damn fine great this call is about a new state regulated final expense insurance plan which covers a hundred per sway or cremation it is no lower and more about no complete no,5,i m damn fine great this call is about a new state regulated final expense insurance plan which covers a hundred per sway or cremation it is no lower and more about no complete no,dnq
924,all right mister sam i m all right this,5,all right mister sam i m all right this,dnq
930,adele this,5,adele this,dnq
932,at hello,5,at hello,dnq
934,tod god,5,tod god,dnq
938,and now this,5,and now this,dnq
944,i m going said you,5,i m going said you,dnq
945,i find,5,i find,dnq
954,cause,5,cause,dnq
956,young good how get my number,5,young good how get my number,dnq
965,i m going in great,5,i m going in great,dnq
968,just fine what can i do for you great this,5,just fine what can i do for you great this,dnq
971,omar great,5,omar great,dnq
974,anton,5,anton,dnq
975,cale,5,cale,dnq
978,fine no this,5,fine no this,dnq
983,and i like to this this,5,and i like to this this,dnq
985,i m going and i,5,i m going and i,dnq
987,i m done fine the good for you it regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for the for the people on fixed income or social security would you like to learn more about it no mose evans all paid for i,5,i m done fine the good for you it regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for the for the people on fixed income or social security would you like to learn more about it no mose evans all paid for i,dnq
989,how,5,how,dnq
990,i do,5,i do,dnq
991,jess price great this,5,jess price great this,dnq
995,yes fine thanks great,5,yes fine thanks great,dnq
996,what can i do for you this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specific,5,what can i do for you this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specific,dnq
1001,i m nokind maybe,5,i m nokind maybe,dnq
1002,i don t want to have anything to do with your business thank you very much great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed,5,i don t want to have anything to do with your business thank you very much great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed,dnq
1003,in great great this call is about a new state regulated final expense insurance plan which covers a hundred decent ariel alone on a button expenses it is specifically designed for the people on fixed income or social security real i can learn more about it no i don t need toknow anything about it it s a whole fat joke i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our product specialists can give you more information than right now right now i don t qualify nobody does,5,in great great this call is about a new state regulated final expense insurance plan which covers a hundred decent ariel alone on a button expenses it is specifically designed for the people on fixed income or social security real i can learn more about it no i don t need toknow anything about it it s a whole fat joke i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our product specialists can give you more information than right now right now i don t qualify nobody does,dnq
1010,gone this,5,gone this,dnq
1011,aboard,5,aboard,dnq
1012,denique this,5,denique this,dnq
1016,in the good man but i got a jules got everything i give you,5,in the good man but i got a jules got everything i give you,dnq
1020,too,5,too,dnq
1022,abe this calls about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is it is beside my highness or would you like to learn more about her,5,abe this calls about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is it is beside my highness or would you like to learn more about her,dnq
1023,an american for that all right,5,an american for that all right,dnq
1026,what do you need i,5,what do you need i,dnq
1030,purty good amy what spades this good for great,5,purty good amy what spades this good for great,dnq
1036,fine will you sell him great,5,fine will you sell him great,dnq
1037,we took what do you mean,5,we took what do you mean,dnq
1043,do,5,do,dnq
1045,fine man,5,fine man,dnq
1048,ok,5,ok,dnq
1050,undone are but i think you re the same one the same one regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically illy designed for the people on fixed income or social security would you like to learn more about it no i m i m prepared i m already fixed i completely understand that but these new fordable trams have just been approved,5,undone are but i think you re the same one the same one regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically illy designed for the people on fixed income or social security would you like to learn more about it no i m i m prepared i m already fixed i completely understand that but these new fordable trams have just been approved,dnq
1057,i m doing fine in great,5,i m doing fine in great,dnq
1065,i m going to go,5,i m going to go,dnq
1068,bad,5,bad,dnq
1076,over fine this,5,over fine this,dnq
1079,i ain t doin it for dan i can plead now really don t mind i don t mind the more my wife and i for you and my nerves is all to pieces this call is about a new state regulated final expense insurance plan to be at your burial funeral or cremation expenses it is,5,i ain t doin it for dan i can plead now really don t mind i don t mind the more my wife and i for you and my nerves is all to pieces this call is about a new state regulated final expense insurance plan to be at your burial funeral or cremation expenses it is,dnq
1086,about grace this,5,about grace this,dnq
1088,a fine lover to you bob,5,a fine lover to you bob,dnq
1090,don t,5,don t,dnq
1091,i came in this,5,i came in this,dnq
1095,bob,5,bob,dnq
1100,the fan,5,the fan,dnq
1105,a cave this,5,a cave this,dnq
1109,don,5,don,dnq
1111,all pretty good great,5,all pretty good great,dnq
1116,ok this call,5,ok this call,dnq
1117,great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral for clayton yes for it is socially designed for the fine concord in my house please come would you like to learn more about it,5,great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral for clayton yes for it is socially designed for the fine concord in my house please come would you like to learn more about it,dnq
1119,i say great,5,i say great,dnq
1120,that one,5,that one,dnq
1128,don van,5,don van,dnq
1131,o this,5,o this,dnq
1132,again great is,5,again great is,dnq
1135,i m not afraid,5,i m not afraid,dnq
1137,i amy i m doing great great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expense expenses it is specifically i know you re a robot,5,i amy i m doing great great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expense expenses it is specifically i know you re a robot,dnq
1140,i go,5,i go,dnq
1141,down to good great,5,down to good great,dnq
1151,doing well thank you great,5,doing well thank you great,dnq
1154,a man great great,5,a man great great,dnq
1156,the angel,5,the angel,dnq
