,beam,class,cleaned_text,class_labels
540,how are you great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cream cremation of record the antitoxin to human being,6,how are you great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cream cremation of record the antitoxin to human being,greetings
545,are you,6,are you,greetings
595,i do you,6,i do you,greetings
599,i m going to her you,6,i m going to her you,greetings
600,do it how are you,6,do it how are you,greetings
625,donkeys,6,donkeys,greetings
648,look here are,6,look here are,greetings
649,you do,6,you do,greetings
701,a baker,6,a baker,greetings
721,i m pretty gay i hope you are great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically finally the one for the people we talked about this yesterday and i told you we bought it and we got all that taken care of we don t know any more than thank you for your call you take my number off your list if you don t care o great this call is about a new state regulated final expense insurance plan which covers a hundred ppercentof your,6,i m pretty gay i hope you are great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically finally the one for the people we talked about this yesterday and i told you we bought it and we got all that taken care of we don t know any more than thank you for your call you take my number off your list if you don t care o great this call is about a new state regulated final expense insurance plan which covers a hundred ppercentof your,greetings
724,good to you,6,good to you,greetings
748,well how are,6,well how are,greetings
772,i m doing fine how,6,i m doing fine how,greetings
810,frank thank you are you,6,frank thank you are you,greetings
833,ah this call,6,ah this call,greetings
834,give you great,6,give you great,greetings
838,are you this,6,are you this,greetings
845,i do not how are you this,6,i do not how are you this,greetings
849,how how s your life,6,how how s your life,greetings
870,doing so how about yourself this call is about a new state regulated final expense insurance plan which covers a hundred percent on lower our latin expenses it is specific no not dying for a little while so i probably won t need that okay but i do think you do mean that s very sorrowful but i probably don t need her right now late final expenditures plan which covers a hundred ppercentof your burial do you know,6,doing so how about yourself this call is about a new state regulated final expense insurance plan which covers a hundred percent on lower our latin expenses it is specific no not dying for a little while so i probably won t need that okay but i do think you do mean that s very sorrowful but i probably don t need her right now late final expenditures plan which covers a hundred ppercentof your burial do you know,greetings
885,on you,6,on you,greetings
905,do you this,6,do you this,greetings
911,will you,6,will you,greetings
917,fine how about yourself,6,fine how about yourself,greetings
921,bridget,6,bridget,greetings
926,good how are you,6,good how are you,greetings
933,fine how you done,6,fine how you done,greetings
950,is something good,6,is something good,greetings
976,and in fine how are you,6,and in fine how are you,greetings
979,amy i m fine how are,6,amy i m fine how are,greetings
999,i m glad now you,6,i m glad now you,greetings
1025,oh i m doing pretty good thank the lord are,6,oh i m doing pretty good thank the lord are,greetings
1028,pretty good now at this,6,pretty good now at this,greetings
1035,i m not for you,6,i m not for you,greetings
1040,fine now but you how you doing that s more,6,fine now but you how you doing that s more,greetings
1055,fine in you this,6,fine in you this,greetings
1075,fine thank you how are you great,6,fine thank you how are you great,greetings
1085,the better you are,6,the better you are,greetings
1124,i made you this,6,i made you this,greetings
1145,i find,6,i find,greetings
1185,commodore saville scratch,6,commodore saville scratch,greetings
1193,where are you going ttodaythis call is about a new state regulated final expense insurance and that he is nothing in our burial or funeral or very nation general is it is it is it would you like to learn more about it would you like to go up yourself,6,where are you going ttodaythis call is about a new state regulated final expense insurance and that he is nothing in our burial or funeral or very nation general is it is it is it would you like to learn more about it would you like to go up yourself,greetings
1199,i m pretty good at it great this,6,i m pretty good at it great this,greetings
1222,i m done fine how are,6,i m done fine how are,greetings
1233,really i m doing great how are,6,really i m doing great how are,greetings
1238,god aid,6,god aid,greetings
1245,good are you great this,6,good are you great this,greetings
1252,i fired at fine unto ye call me so what s up this car must have a new state late final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for signed for the people on fixed income or social security would you like to learn more about it pale now i completely understand that but these new fordable plans have just been approved in your state and everyone qualified helena love name,6,i fired at fine unto ye call me so what s up this car must have a new state late final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for signed for the people on fixed income or social security would you like to learn more about it pale now i completely understand that but these new fordable plans have just been approved in your state and everyone qualified helena love name,greetings
1262,i m doin fine yourself great,6,i m doin fine yourself great,greetings
1264,what i am how you do,6,what i am how you do,greetings
1268,here again what s up great,6,here again what s up great,greetings
1278,doing pretty good are you great,6,doing pretty good are you great,greetings
1280,i m doing good you do it great,6,i m doing good you do it great,greetings
1314,doing good have you this,6,doing good have you this,greetings
1325,but how are you,6,but how are you,greetings
1351,i am of a thank you to you great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically a fine thing thank you thank you i don t get it i have a busy holes about a new state regulated final expense insurance plan which covers a hundred ppercentof your burial funeral neal or cremation expenses it is every time paid already i do not need it thank you o great,6,i am of a thank you to you great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically a fine thing thank you thank you i don t get it i have a busy holes about a new state regulated final expense insurance plan which covers a hundred ppercentof your burial funeral neal or cremation expenses it is every time paid already i do not need it thank you o great,greetings
1355,i fan you this,6,i fan you this,greetings
1368,he had been good we,6,he had been good we,greetings
1377,i m well thank you how are you great this,6,i m well thank you how are you great this,greetings
1385,hurry and you hear me i can t,6,hurry and you hear me i can t,greetings
1391,almost to,6,almost to,greetings
1397,this,6,this,greetings
1415,i m not doing good are off great this,6,i m not doing good are off great this,greetings
1420,dan great hope you are great,6,dan great hope you are great,greetings
1474,in you,6,in you,greetings
1479,i m okay how are you great,6,i m okay how are you great,greetings
1505,to,6,to,greetings
1511,oh i just said how about,6,oh i just said how about,greetings
1518,oh i m fine thank you how are you,6,oh i m fine thank you how are you,greetings
1537,ok have,6,ok have,greetings
1538,an i m doin fine and about you this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is would you like to learn more about it no i guess not dan and i have plenty insurance already i appreciate it but i have plenty insurance for that then thank you i completely understand that,6,an i m doin fine and about you this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is would you like to learn more about it no i guess not dan and i have plenty insurance already i appreciate it but i have plenty insurance for that then thank you i completely understand that,greetings
1568,how are you doing this,6,how are you doing this,greetings
1569,how are you,6,how are you,greetings
1577,all right how are you doing i m doing grand wrapping,6,all right how are you doing i m doing grand wrapping,greetings
1582,am i telling you,6,am i telling you,greetings
1604,i m going good how about about,6,i m going good how about about,greetings
1609,i m right how you,6,i m right how you,greetings
1610,amy forgot any about you great,6,amy forgot any about you great,greetings
1622,under great how re you doing great,6,under great how re you doing great,greetings
1628,i m doin great how are you doing,6,i m doin great how are you doing,greetings
1631,i m doing do you great,6,i m doing do you great,greetings
1641,good god how are you great this,6,good god how are you great this,greetings
1645,i m doin fine how are,6,i m doin fine how are,greetings
1656,and how you do,6,and how you do,greetings
1682,do it ma am,6,do it ma am,greetings
1694,i m going to this,6,i m going to this,greetings
1707,bunny how are you,6,bunny how are you,greetings
1713,all right dear this call is awarded the regulated final expense insurance plan which covers a hundred percent for a funeral or cremation expenses it is specifically not a word then would you like to learn more about it no no more i completely understand that,6,all right dear this call is awarded the regulated final expense insurance plan which covers a hundred percent for a funeral or cremation expenses it is specifically not a word then would you like to learn more about it no no more i completely understand that,greetings
1720,good amy how you doing,6,good amy how you doing,greetings
1727,great how are you this,6,great how are you this,greetings
1738,so senor scare good how are you complete a cutting out amy you re cutting out a new state regulated final expense insurance plan which covers a hundred percent of your bar of your burial funeral or cremation expenses it is specifically designed for the people on a fixed income or social security would you like to learn more about it yes please,6,so senor scare good how are you complete a cutting out amy you re cutting out a new state regulated final expense insurance plan which covers a hundred percent of your bar of your burial funeral or cremation expenses it is specifically designed for the people on a fixed income or social security would you like to learn more about it yes please,greetings
1756,be girl argue,6,be girl argue,greetings
1757,just fine thank you kin you great,6,just fine thank you kin you great,greetings
1776,that,6,that,greetings
1786,very good,6,very good,greetings
1792,a man how are,6,a man how are,greetings
1806,i don t know how you doing this,6,i don t know how you doing this,greetings
1834,i am out i,6,i am out i,greetings
1842,i m going,6,i m going,greetings
1890,the fine amy how about,6,the fine amy how about,greetings
1893,fine how are you this,6,fine how are you this,greetings
1903,i m doing pretty good how you do,6,i m doing pretty good how you do,greetings
1930,i m goin fin you doin,6,i m goin fin you doin,greetings
1938,i m a doin that about you,6,i m a doin that about you,greetings
1947,oh good amy how are you great,6,oh good amy how are you great,greetings
1949,good hay i,6,good hay i,greetings
1969,in fine how are,6,in fine how are,greetings
1983,good are you,6,good are you,greetings
1986,hardly,6,hardly,greetings
1991,amy amy amy how are,6,amy amy amy how are,greetings
1995,i m a doin it how you done me,6,i m a doin it how you done me,greetings
2015,no no god of working,6,no no god of working,greetings
2037,i m done great what what about you great,6,i m done great what what about you great,greetings
2057,i m good thank you grace this,6,i m good thank you grace this,greetings
2075,i m going to find in herself this,6,i m going to find in herself this,greetings
2081,amy i ve done right any how are,6,amy i ve done right any how are,greetings
2082,go yourself great,6,go yourself great,greetings
2098,that how are you,6,that how are you,greetings
2110,i got to ask are you,6,i got to ask are you,greetings
2116,with you,6,with you,greetings
2117,i m doing great no and whatever you have to face i,6,i m doing great no and whatever you have to face i,greetings
2126,you ll have it yourself,6,you ll have it yourself,greetings
2151,i ve been better how are you,6,i ve been better how are you,greetings
2167,ah how you who is,6,ah how you who is,greetings
2185,i m firing you great,6,i m firing you great,greetings
2193,are you going to sit citizen care,6,are you going to sit citizen care,greetings
2201,no good how re you,6,no good how re you,greetings
2214,nothing how about yourself how,6,nothing how about yourself how,greetings
2222,pretty good how much to say great,6,pretty good how much to say great,greetings
2257,make it go great,6,make it go great,greetings
2279,one more great,6,one more great,greetings
2307,how to rob yourself,6,how to rob yourself,greetings
2317,a moi are ye great,6,a moi are ye great,greetings
2339,this fine anew great,6,this fine anew great,greetings
2360,i amy with senior citizens this here i m doin fine this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses are one and at times and certainly no barrel or cemetery or anything like that they expose,6,i amy with senior citizens this here i m doin fine this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses are one and at times and certainly no barrel or cemetery or anything like that they expose,greetings
2369,i m fine thank you and how about,6,i m fine thank you and how about,greetings
2422,makes,6,makes,greetings
2424,i m doin on you this,6,i m doin on you this,greetings
2427,don t get hurry this,6,don t get hurry this,greetings
2431,a great hope you are gray,6,a great hope you are gray,greetings
2446,how good how about,6,how good how about,greetings
2447,fantastic amy how are you,6,fantastic amy how are you,greetings
2451,great how about,6,great how about,greetings
2455,i ll make you care,6,i ll make you care,greetings
2461,i find how are you,6,i find how are you,greetings
2467,god how are you this follows about a new state regulated final extent insurance land which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for for the people on fixed in,6,god how are you this follows about a new state regulated final extent insurance land which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for for the people on fixed in,greetings
2509,o you we can hear me yes i can hear you laugh what can i help you with i,6,o you we can hear me yes i can hear you laugh what can i help you with i,greetings
2511,i you,6,i you,greetings
2516,oh i m doing very well how,6,oh i m doing very well how,greetings
2527,paul this,6,paul this,greetings
2531,finding yourself can you hear now yes,6,finding yourself can you hear now yes,greetings
2532,i m doing good are you grape,6,i m doing good are you grape,greetings
2550,i m going for it,6,i m going for it,greetings
2583,good anyhow as you how s the family great,6,good anyhow as you how s the family great,greetings
2609,how are you this,6,how are you this,greetings
2613,i m pretty good and how are you hear that this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses i already have a faint carolina thank you it s safer to learn more about it no no thank you i completely,6,i m pretty good and how are you hear that this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses i already have a faint carolina thank you it s safer to learn more about it no no thank you i completely,greetings
2618,oh i m doin but i m a bog contemplate it in you this,6,oh i m doin but i m a bog contemplate it in you this,greetings
2624,under a fine amy how you do it,6,under a fine amy how you do it,greetings
2639,vi,6,vi,greetings
2640,but how are you this,6,but how are you this,greetings
2643,i m doing good are you great,6,i m doing good are you great,greetings
2648,can t you this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specific specifically i can t hear you how can you be like that are you i come,6,can t you this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specific specifically i can t hear you how can you be like that are you i come,greetings
2651,i make you this,6,i make you this,greetings
2674,god how are you,6,god how are you,greetings
2675,i guess we re good enough how you done this call,6,i guess we re good enough how you done this call,greetings
2678,dorian how are you to,6,dorian how are you to,greetings
2688,good amy how are,6,good amy how are,greetings
2701,can,6,can,greetings
2710,hello amy how are you today,6,hello amy how are you today,greetings
2721,be,6,be,greetings
2735,i m good how are,6,i m good how are,greetings
2749,i m fain to hope your faith great,6,i m fain to hope your faith great,greetings
2762,a fine thank you how are you,6,a fine thank you how are you,greetings
2797,said ada i m doing great things trapping,6,said ada i m doing great things trapping,greetings
2828,you are crying now about,6,you are crying now about,greetings
2829,you,6,you,greetings
2836,can you,6,can you,greetings
2848,and will you harry,6,and will you harry,greetings
2870,fine here,6,fine here,greetings
2879,is great how do great this,6,is great how do great this,greetings
2886,the cars at a newly regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for signed for the people on fixed income or social security would you like to learn more about it,6,the cars at a newly regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for signed for the people on fixed income or social security would you like to learn more about it,greetings
2892,good how about you this call is about a new state regulated final expense insurance plan which covers,6,good how about you this call is about a new state regulated final expense insurance plan which covers,greetings
2898,i m going to him how are,6,i m going to him how are,greetings
2908,not too much were ttodaythe mamma you good this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral no mason and i really have packed you over thank you baba thank you great this college about a new state regulation,6,not too much were ttodaythe mamma you good this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral no mason and i really have packed you over thank you baba thank you great this college about a new state regulation,greetings
2911,i did about you this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically ally designed for another,6,i did about you this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically ally designed for another,greetings
2918,fine now are you you ma am,6,fine now are you you ma am,greetings
2919,fine you,6,fine you,greetings
2969,an you an how are you,6,an you an how are you,greetings
2988,i m doin good honey how,6,i m doin good honey how,greetings
3023,oh bout you this,6,oh bout you this,greetings
3026,you this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial in a funeral or cremation expense soon all read the comment thank you bless you,6,you this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial in a funeral or cremation expense soon all read the comment thank you bless you,greetings
3035,don ben,6,don ben,greetings
3063,well you,6,well you,greetings
3098,under an good how are you,6,under an good how are you,greetings
3106,ma am good how are,6,ma am good how are,greetings
3110,to you,6,to you,greetings
3130,i m great i ll help,6,i m great i ll help,greetings
3139,well amy how are,6,well amy how are,greetings
3149,aye,6,aye,greetings
3150,good youth,6,good youth,greetings
3189,gerty good man you great,6,gerty good man you great,greetings
3193,and george,6,and george,greetings
3195,all right are you this,6,all right are you this,greetings
3217,umboo i think how you doing,6,umboo i think how you doing,greetings
3219,just how you,6,just how you,greetings
3226,below,6,below,greetings
3228,i m going how are,6,i m going how are,greetings
3240,i m done all right how you doing,6,i m done all right how you doing,greetings
3283,i m to go had you,6,i m to go had you,greetings
3286,but i am doing better than i deserve amy how you do and that s the question are you are you,6,but i am doing better than i deserve amy how you do and that s the question are you are you,greetings
3293,writing you,6,writing you,greetings
3301,well how are you,6,well how are you,greetings
3318,i m doing have you honey this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is to be can we draw learn more about it here,6,i m doing have you honey this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is to be can we draw learn more about it here,greetings
3357,o that how are you to state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specific and co cos i m eighty five years ago what is that calf would you like some drug,6,o that how are you to state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specific and co cos i m eighty five years ago what is that calf would you like some drug,greetings
3421,how are you doing it,6,how are you doing it,greetings
3459,well i m done good amy i don t,6,well i m done good amy i don t,greetings
3482,and how you,6,and how you,greetings
3498,good thank you how are you this,6,good thank you how are you this,greetings
3504,i m feelin fair,6,i m feelin fair,greetings
3508,i m doing pretty good ttodayhow about you great this good regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expense it is i don t need that i have i have mine and i have mine planned i have to drop dead to qualify you for,6,i m doing pretty good ttodayhow about you great this good regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expense it is i don t need that i have i have mine and i have mine planned i have to drop dead to qualify you for,greetings
3585,i m doin fine about you,6,i m doin fine about you,greetings
3617,done it amy how you,6,done it amy how you,greetings
3621,in you sir,6,in you sir,greetings
3626,you this,6,you this,greetings
3627,i write you are you new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for the people on fixed fixed income or social security would you like to learn more about it no i,6,i write you are you new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for the people on fixed fixed income or social security would you like to learn more about it no i,greetings
3633,doing fairly good you great this,6,doing fairly good you great this,greetings
3643,military great this,6,military great this,greetings
3660,i m going for you,6,i m going for you,greetings
3661,i m sorry were you,6,i m sorry were you,greetings
3679,i m as good have,6,i m as good have,greetings
3692,halo amy do great amy have you done,6,halo amy do great amy have you done,greetings
3732,i m better than you probably thank you you great this call,6,i m better than you probably thank you you great this call,greetings
3762,get a moke how re you,6,get a moke how re you,greetings
3765,a great great,6,a great great,greetings
3776,terrible so so what do you want i,6,terrible so so what do you want i,greetings
3809,are you this call is not regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed designed for the people on fixed income or social security would you like to learn more about it now i m already in a pen is not ready to mine but so please take your card in my calling this an i m already peep thank you i completely understand that but but these new fordable plans have just been approved in your state and everyone qualified,6,are you this call is not regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed designed for the people on fixed income or social security would you like to learn more about it now i m already in a pen is not ready to mine but so please take your card in my calling this an i m already peep thank you i completely understand that but but these new fordable plans have just been approved in your state and everyone qualified,greetings
3839,than you,6,than you,greetings
3846,how are you amy this,6,how are you amy this,greetings
3848,from here,6,from here,greetings
3862,doing fairly well,6,doing fairly well,greetings
3869,all right,6,all right,greetings
3872,in fine that great,6,in fine that great,greetings
3880,more about,6,more about,greetings
3899,i m doing decent are you amy,6,i m doing decent are you amy,greetings
3900,but what s up i,6,but what s up i,greetings
3901,thank you thank you thanks to you,6,thank you thank you thanks to you,greetings
3921,fine absolutely fine i really hope you re the same too are you great,6,fine absolutely fine i really hope you re the same too are you great,greetings
3978,i m doin fine how you learned,6,i m doin fine how you learned,greetings
3995,you and how you,6,you and how you,greetings
3999,i m,6,i m,greetings
4038,i m goin how are,6,i m goin how are,greetings
4043,i m fine how are,6,i m fine how are,greetings
4049,i m good i m fine how you do em great,6,i m good i m fine how you do em great,greetings
4056,do it,6,do it,greetings
4061,pretty good how are you,6,pretty good how are you,greetings
4070,how good of you,6,how good of you,greetings
4076,i woke up again this morning how are you i,6,i woke up again this morning how are you i,greetings
4084,i m glad now you do any,6,i m glad now you do any,greetings
4114,all up are you this,6,all up are you this,greetings
4121,i m done get how you,6,i m done get how you,greetings
4133,what does good,6,what does good,greetings
4142,finding you this,6,finding you this,greetings
4147,i m wonderful how are,6,i m wonderful how are,greetings
4158,i m just found but sure this,6,i m just found but sure this,greetings
4172,i m here as you do this,6,i m here as you do this,greetings
4192,ma am how about you,6,ma am how about you,greetings
4194,and you,6,and you,greetings
4197,wonderful amy with american senior citizens care how are,6,wonderful amy with american senior citizens care how are,greetings
4219,i m doing great how are you,6,i m doing great how are you,greetings
4237,done good are you,6,done good are you,greetings
4258,i m paying you great,6,i m paying you great,greetings
4276,i m done wonderful about you amy this,6,i m done wonderful about you amy this,greetings
4292,don t for you,6,don t for you,greetings
4309,if i were about you i,6,if i were about you i,greetings
4320,all right how are you,6,all right how are you,greetings
4330,how can,6,how can,greetings
4371,fine are,6,fine are,greetings
4415,great amy how are,6,great amy how are,greetings
4430,i m all right how are you,6,i m all right how are you,greetings
4441,fine,6,fine,greetings
4450,i m doin fine you,6,i m doin fine you,greetings
4453,great amy how are you,6,great amy how are you,greetings
4485,i m great how are you grace,6,i m great how are you grace,greetings
4506,i said about you,6,i said about you,greetings
4510,i ll go you,6,i ll go you,greetings
4511,some fun how,6,some fun how,greetings
4513,pretty good amy how,6,pretty good amy how,greetings
4518,i m doing good in you this call,6,i m doing good in you this call,greetings
4521,doing well how are you,6,doing well how are you,greetings
4527,a hare,6,a hare,greetings
4562,i m doing ok how are you this,6,i m doing ok how are you this,greetings
4572,how you do,6,how you do,greetings
4573,i m doing great amy how are,6,i m doing great amy how are,greetings
4579,come and find you,6,come and find you,greetings
4594,m o a,6,m o a,greetings
4599,all right you,6,all right you,greetings
4613,that s you this called about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically did for the people and not interested i m not interested i completely understand that i will do it just,6,that s you this called about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically did for the people and not interested i m not interested i completely understand that i will do it just,greetings
4625,i m doing a gift,6,i m doing a gift,greetings
4646,amy i am doing wonderful how are you,6,amy i am doing wonderful how are you,greetings
4647,an interest in you,6,an interest in you,greetings
4653,i m done great how,6,i m done great how,greetings
4687,adieu this,6,adieu this,greetings
4692,fine how are,6,fine how are,greetings
4711,good harry,6,good harry,greetings
4727,all right you now this,6,all right you now this,greetings
4731,why are you,6,why are you,greetings
4732,oh i couldn t be better amy how are,6,oh i couldn t be better amy how are,greetings
4742,hey i m fine how are,6,hey i m fine how are,greetings
4743,are you pretty good,6,are you pretty good,greetings
4745,oh i m having for moment to,6,oh i m having for moment to,greetings
4748,and a pretty good harry this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation agencies it is specifically des designed for the people would you like to learn more about it,6,and a pretty good harry this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation agencies it is specifically des designed for the people would you like to learn more about it,greetings
4749,i m doing pretty good how you do it great this,6,i m doing pretty good how you do it great this,greetings
4765,i m doing good how are,6,i m doing good how are,greetings
4775,fine how are you doing this call,6,fine how are you doing this call,greetings
4791,fie angel this,6,fie angel this,greetings
4810,i m goin to find dot this,6,i m goin to find dot this,greetings
4812,but how are,6,but how are,greetings
4828,don got amy how you,6,don got amy how you,greetings
4841,i m doing good amy how about,6,i m doing good amy how about,greetings
4853,i m just fine how,6,i m just fine how,greetings
4858,good are you grape,6,good are you grape,greetings
4869,how are,6,how are,greetings
4877,don t alter how about,6,don t alter how about,greetings
4889,i m good at you great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses and if it is her daughter i ve got my mother s tone and she s not available oh i understand but it s not going to take much time i have a product specialist on the line who can show you some options,6,i m good at you great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses and if it is her daughter i ve got my mother s tone and she s not available oh i understand but it s not going to take much time i have a product specialist on the line who can show you some options,greetings
4895,i go amy was,6,i go amy was,greetings
4907,i m doing great,6,i m doing great,greetings
4940,bouquet how much youse,6,bouquet how much youse,greetings
4969,this freight about you great,6,this freight about you great,greetings
4979,i m doing a cow you doin this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses is it hello would you like to learn more about it no no,6,i m doing a cow you doin this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses is it hello would you like to learn more about it no no,greetings
4991,good amy how are you this,6,good amy how are you this,greetings
5007,i m great amy how are you you today,6,i m great amy how are you you today,greetings
5013,all right this call,6,all right this call,greetings
5032,you i,6,you i,greetings
5052,to shame,6,to shame,greetings
5059,i m doin fine how about,6,i m doin fine how about,greetings
5076,and i tell you,6,and i tell you,greetings
5080,i m glad you,6,i m glad you,greetings
5101,i m doin fine how are you great,6,i m doin fine how are you great,greetings
5113,he great how are,6,he great how are,greetings
5116,oh just fine how about yourself,6,oh just fine how about yourself,greetings
5140,going and how about,6,going and how about,greetings
5182,fine how are you,6,fine how are you,greetings
5185,my,6,my,greetings
5189,pretty good how you,6,pretty good how you,greetings
5200,i m feelin good how you feelin,6,i m feelin good how you feelin,greetings
5218,amy how you done it great,6,amy how you done it great,greetings
5255,i m goin good,6,i m goin good,greetings
