,beam,class,cleaned_text,class_labels
530,please take me off this last thanks,3,please take me off this last thanks,busy
547,i m not a senior citizen you can take the number of your calls it follows,3,i m not a senior citizen you can take the number of your calls it follows,busy
548,it you re wasting my time,3,it you re wasting my time,busy
575,another call,3,another call,busy
578,it one,3,it one,busy
592,he shut the bucketing aloud,3,he shut the bucketing aloud,busy
620,it no i wouldn t i have insurance already paid thank you anyway and stop calling me,3,it no i wouldn t i have insurance already paid thank you anyway and stop calling me,busy
630,amy you ve called me a hundred times about a senior citizen,3,amy you ve called me a hundred times about a senior citizen,busy
634,no and would you quit calling me i completely understand that,3,no and would you quit calling me i completely understand that,busy
662,i give my life this,3,i give my life this,busy
669,amy this is the third third time you have called me ttodaythat too many times,3,amy this is the third third time you have called me ttodaythat too many times,busy
687,the camp don t be callin me i completely understand that these new afford,3,the camp don t be callin me i completely understand that these new afford,busy
694,good ma am no not great this,3,good ma am no not great this,busy
695,no callers please,3,no callers please,busy
704,am not interested and do not call me any more,3,am not interested and do not call me any more,busy
709,i m very good don t call me again you call all the time stop calling me good bye,3,i m very good don t call me again you call all the time stop calling me good bye,busy
723,what then i completely understand that but these new fordable plans have just been out in your stay all in may this call is about a new state regulated finance insurance one hundred percent of your burial and raw and recreation expenses though it s been only to say may stop calling may stop calling may stop calling may oh yes,3,what then i completely understand that but these new fordable plans have just been out in your stay all in may this call is about a new state regulated finance insurance one hundred percent of your burial and raw and recreation expenses though it s been only to say may stop calling may stop calling may stop calling may oh yes,busy
731,car trying to take madame but you mother to call at a regulated final expense i wouldn t give a result result of your real funeral or cremation expenses it is specifically to remember to create a bare to you as if you could keep coleby by for number number which mark,3,car trying to take madame but you mother to call at a regulated final expense i wouldn t give a result result of your real funeral or cremation expenses it is specifically to remember to create a bare to you as if you could keep coleby by for number number which mark,busy
736,then you can t be up for that my lady,3,then you can t be up for that my lady,busy
743,you ignorant bitch i,3,you ignorant bitch i,busy
768,this is my work on this annoying thing,3,this is my work on this annoying thing,busy
803,i m not doing very good you call me all the time and most i ever had that this call is about men call late the final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it it is specifically designed for the people on a fixed income or social economy i m ninety five years old does that answer your question he is young and up hurry up and hang up,3,i m not doing very good you call me all the time and most i ever had that this call is about men call late the final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it it is specifically designed for the people on a fixed income or social economy i m ninety five years old does that answer your question he is young and up hurry up and hang up,busy
809,it no i ve already taken care of all that ill as goose dies they ll take care of me but thank you for calling is to call again,3,it no i ve already taken care of all that ill as goose dies they ll take care of me but thank you for calling is to call again,busy
811,it no thank you i have insurance i wonder if he s a recording cause i wish you d lose my fun number i,3,it no thank you i have insurance i wonder if he s a recording cause i wish you d lose my fun number i,busy
814,it i need taking off your tales please,3,it i need taking off your tales please,busy
820,not good at all amy i m really feeling bad and down because i m receiving receiving all these robot calls i kind o like interrupted my sleep i m an old man and i just really can t handle the pressure and so to stop stop calling me,3,not good at all amy i m really feeling bad and down because i m receiving receiving all these robot calls i kind o like interrupted my sleep i m an old man and i just really can t handle the pressure and so to stop stop calling me,busy
821,i don t know what the hell you re talking about ninety years only nine,3,i don t know what the hell you re talking about ninety years only nine,busy
914,and i do not called back,3,and i do not called back,busy
920,it no please remove my name and number from your list,3,it no please remove my name and number from your list,busy
936,find you ready come here i don t know how many times so i and conal on an estate regulated final expense insurance plan which covers a hundred hundred percent of your burial funeral or cremation expenses it is specifically designed for the people on fixed income or social security would you like to learn more about it no thank you already got all that cover thank you i,3,find you ready come here i don t know how many times so i and conal on an estate regulated final expense insurance plan which covers a hundred hundred percent of your burial funeral or cremation expenses it is specifically designed for the people on fixed income or social security would you like to learn more about it no thank you already got all that cover thank you i,busy
941,i don t want this call any more put me on your new ally this call is about a new state regulated final expense insurance plan which covers a hundred percent,3,i don t want this call any more put me on your new ally this call is about a new state regulated final expense insurance plan which covers a hundred percent,busy
952,it can you remove my name from your calling list please i have blocked this car many many times and why sir to my number yes,3,it can you remove my name from your calling list please i have blocked this car many many times and why sir to my number yes,busy
957,i m doing fine but i ve a what s this concern i ve had about ten call calls today felt for this great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral funeral or cremation expenses it is besides an i m not interested because i m military so i can handle that,3,i m doing fine but i ve a what s this concern i ve had about ten call calls today felt for this great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral funeral or cremation expenses it is besides an i m not interested because i m military so i can handle that,busy
981,it no thank you i m in the insurance business and i appreciate if you don t call again that s about the third or fourth time you ve call you call it in the business don t call me again,3,it no thank you i m in the insurance business and i appreciate if you don t call again that s about the third or fourth time you ve call you call it in the business don t call me again,busy
1041,it no i ve got that tan car in which you put this about the third or fourth call would you take my name off your calling list please,3,it no i ve got that tan car in which you put this about the third or fourth call would you take my name off your calling list please,busy
1062,oh really terrible because,3,oh really terrible because,busy
1064,it now and is sure to take me off that collies,3,it now and is sure to take me off that collies,busy
1077,i ve done got one fowl in yourself in this college on a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is not a one cremation i ve got a cremation plan already paid for so i better and tell ned but thank ye anyway oh yes would you like to learn,3,i ve done got one fowl in yourself in this college on a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is not a one cremation i ve got a cremation plan already paid for so i better and tell ned but thank ye anyway oh yes would you like to learn,busy
1078,i don t know you no call me no more,3,i don t know you no call me no more,busy
1081,a better may call and come thence since land which co which covers a hundred percent of your burial funeral or cremation expenses it is like you you fucking duncan would you like to learn more about it now i d like you to put yourself in a mere i completely understand that but these new fordable plans have just been approved exactly or,3,a better may call and come thence since land which co which covers a hundred percent of your burial funeral or cremation expenses it is like you you fucking duncan would you like to learn more about it now i d like you to put yourself in a mere i completely understand that but these new fordable plans have just been approved exactly or,busy
1082,it hal now i,3,it hal now i,busy
1102,it no and please don t call me again take my number off your calling list,3,it no and please don t call me again take my number off your calling list,busy
1106,told you yesterday i was as i told you yesterday not completely understand that for these new fordable plans have just been approved in your state your state and everyone qualified to our products petit good take me off the callis if you call me back i m calling my lawyer there is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is pacifically designed for would you like to learn about representative,3,told you yesterday i was as i told you yesterday not completely understand that for these new fordable plans have just been approved in your state your state and everyone qualified to our products petit good take me off the callis if you call me back i m calling my lawyer there is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is pacifically designed for would you like to learn about representative,busy
1121,why i talked to some ladies about that i told you some right now with the old cook i can t member to what you talking about you at a lie now see what can i do in my call for eighty three old man i ll be a treat to all lord will,3,why i talked to some ladies about that i told you some right now with the old cook i can t member to what you talking about you at a lie now see what can i do in my call for eighty three old man i ll be a treat to all lord will,busy
1123,if i could get a boy job job i d be doing right,3,if i could get a boy job job i d be doing right,busy
1126,it i will not,3,it i will not,busy
1144,same as i was yesterday this,3,same as i was yesterday this,busy
1165,and find him tied to his pa calls i ll tell you that much i get em every day all day long would you give to this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or creation evenly it is it is specifically designed for the people on fixed income or social security would you like to learn more about it no i don t want to hear another phone call about it i completely understand that but the,3,and find him tied to his pa calls i ll tell you that much i get em every day all day long would you give to this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or creation evenly it is it is specifically designed for the people on fixed income or social security would you like to learn more about it no i don t want to hear another phone call about it i completely understand that but the,busy
1188,it no because i have everything settled as far as final plans so put me on your do not call list,3,it no because i have everything settled as far as final plans so put me on your do not call list,busy
1195,are you stupid,3,are you stupid,busy
1239,i don t know i think he called me the other day,3,i don t know i think he called me the other day,busy
1283,not yours it put me on the donatist this normal plea,3,not yours it put me on the donatist this normal plea,busy
1288,it i m not on big tom and i m not a source of security can ye please remove my number,3,it i m not on big tom and i m not a source of security can ye please remove my number,busy
1293,i m drunk this color some state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed in lady i m covered up and down life in chance when i die by all my family be rich for full five years good bye grace this call is about,3,i m drunk this color some state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed in lady i m covered up and down life in chance when i die by all my family be rich for full five years good bye grace this call is about,busy
1296,i ve asked you to take me up if you re going calling it please thank you,3,i ve asked you to take me up if you re going calling it please thank you,busy
1311,it no can you take me off your list and never call again,3,it no can you take me off your list and never call again,busy
1313,surely,3,surely,busy
1318,who for this,3,who for this,busy
1320,this is a government facility and said can,3,this is a government facility and said can,busy
1354,we remove my name from the colleges,3,we remove my name from the colleges,busy
1364,it how do i block you,3,it how do i block you,busy
1369,again again again again pocket bucket a bucket,3,again again again again pocket bucket a bucket,busy
1371,this man this is a business,3,this man this is a business,busy
1387,now this is clam paddy,3,now this is clam paddy,busy
1422,it no but what i really would like it that you people would quit calling i m handicapped and walked like a walker and this is the fifth call this morning,3,it no but what i really would like it that you people would quit calling i m handicapped and walked like a walker and this is the fifth call this morning,busy
1424,it no to colin i,3,it no to colin i,busy
1427,a third call from your organization,3,a third call from your organization,busy
1428,it i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our product specialist can i can give you more information right now you understand no,3,it i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our product specialist can i can give you more information right now you understand no,busy
1449,turn like a banker your call,3,turn like a banker your call,busy
1484,amy you ve called me a hundred times before and the answer has already been now and i tell you now again think you,3,amy you ve called me a hundred times before and the answer has already been now and i tell you now again think you,busy
1485,do i i,3,do i i,busy
1515,i don t know but i ve already talked to you three or four times more in the last week this,3,i don t know but i ve already talked to you three or four times more in the last week this,busy
1517,ah i don t think so i don t call a number near don t call this number number you call it every day call it to people who need it thank you and and,3,ah i don t think so i don t call a number near don t call this number number you call it every day call it to people who need it thank you and and,busy
1522,please take me off the lift,3,please take me off the lift,busy
1533,scamp,3,scamp,busy
1540,it no they call every day and i am not interested thank you i completely understand that but these new and fordable plans have just been approved in your state and everyone qualifies our products specially,3,it no they call every day and i am not interested thank you i completely understand that but these new and fordable plans have just been approved in your state and everyone qualifies our products specially,busy
1560,it take off your lamp take me off your list and you hear,3,it take off your lamp take me off your list and you hear,busy
1562,how you called me yesterday i m not interested in this,3,how you called me yesterday i m not interested in this,busy
1565,for this stuff ain t it ain t it now it s almost nine o clock and you re doing a rowboat car get the hell off my phone,3,for this stuff ain t it ain t it now it s almost nine o clock and you re doing a rowboat car get the hell off my phone,busy
1573,why did he call it,3,why did he call it,busy
1578,no i want you to quit calling me,3,no i want you to quit calling me,busy
1581,it but really off,3,it but really off,busy
1600,to the pluck this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expense expenses it is our design to do good by great,3,to the pluck this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expense expenses it is our design to do good by great,busy
1606,i tell ye i ain t like that before at this,3,i tell ye i ain t like that before at this,busy
1611,well i ll go grey that you had a sorry alive as about kate regulated final expense insurance plan which covers a hundred percent of your burial burial funeral or cremation expenses it is specifically designed for the people on fixed income or social security we will learn more about me to gerty and not only,3,well i ll go grey that you had a sorry alive as about kate regulated final expense insurance plan which covers a hundred percent of your burial burial funeral or cremation expenses it is specifically designed for the people on fixed income or social security we will learn more about me to gerty and not only,busy
1624,it no woman with my left i,3,it no woman with my left i,busy
1630,you called here before she called here before and yet yesterday too thank you they call it,3,you called here before she called here before and yet yesterday too thank you they call it,busy
1638,dora don t come o ho,3,dora don t come o ho,busy
1643,three nine seven the change so what are you calling calling from great,3,three nine seven the change so what are you calling calling from great,busy
1649,no i have insurance and don t call it,3,no i have insurance and don t call it,busy
1689,it i really would like you guys not tokeep asking me and calling me every week,3,it i really would like you guys not tokeep asking me and calling me every week,busy
1693,thank you,3,thank you,busy
1696,but you luck you,3,but you luck you,busy
1733,fuck off and stop calling me,3,fuck off and stop calling me,busy
1743,i m doing grip this is a company fund great,3,i m doing grip this is a company fund great,busy
1747,it and you may have the wrong number,3,it and you may have the wrong number,busy
1754,look you,3,look you,busy
1794,it no please take me off your list,3,it no please take me off your list,busy
1820,i m not dumb enough to do this,3,i m not dumb enough to do this,busy
1827,mark grinned,3,mark grinned,busy
1831,i don t need your callin me all this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or oration expenses it is perceptibly designed for the people on that income would you like to learn more about it,3,i don t need your callin me all this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or oration expenses it is perceptibly designed for the people on that income would you like to learn more about it,busy
1833,it for you,3,it for you,busy
1848,calmly how s that there s calls,3,calmly how s that there s calls,busy
1860,it in the wide bed and in a tank even so too frank you do not go with i,3,it in the wide bed and in a tank even so too frank you do not go with i,busy
1861,charity this,3,charity this,busy
1863,whatever dutch whatever to camors this call is around now,3,whatever dutch whatever to camors this call is around now,busy
1868,ma am i have five calls for the perkinses you called here ttodayis the same,3,ma am i have five calls for the perkinses you called here ttodayis the same,busy
1872,all right this is john with the local sheriff s department what can i do for you,3,all right this is john with the local sheriff s department what can i do for you,busy
1875,it i know all about it and my wife mind you keep calling me i completely understand that but these new fordable plans i ve come to call me a dozen pounds a day,3,it i know all about it and my wife mind you keep calling me i completely understand that but these new fordable plans i ve come to call me a dozen pounds a day,busy
1880,it through this with you,3,it through this with you,busy
1891,the same as i was doing yesterday when you called,3,the same as i was doing yesterday when you called,busy
1894,i told you to get married too,3,i told you to get married too,busy
1909,you take me off your goddam it and quit calling me i wanted to,3,you take me off your goddam it and quit calling me i wanted to,busy
1919,ask you quit it with colin made i don t need no insurance i don t need no barrel brain i don t need no car insurance i don t need nothing nothing except the left one is it miss it s not for your kind calling on a new stand regulated law and insurance plan which covers a hundred percent of your bar your burial funeral or cremation expenses it is,3,ask you quit it with colin made i don t need no insurance i don t need no barrel brain i don t need no car insurance i don t need nothing nothing except the left one is it miss it s not for your kind calling on a new stand regulated law and insurance plan which covers a hundred percent of your bar your burial funeral or cremation expenses it is,busy
1933,amy you start dick this,3,amy you start dick this,busy
1935,no you re some scamper over in india this call is about a new state regulated final expense insurance plan just how i inquired missionaries commission expenses it specifically deserves no no contest would you like to learn more about it monsieur is no cast,3,no you re some scamper over in india this call is about a new state regulated final expense insurance plan just how i inquired missionaries commission expenses it specifically deserves no no contest would you like to learn more about it monsieur is no cast,busy
1952,where,3,where,busy
1953,i m still growing old and i don t like your calling me thank you this call,3,i m still growing old and i don t like your calling me thank you this call,busy
1961,it so as,3,it so as,busy
1976,i m doing great for this is the third day in the row you ve called me and i don t want your business and it s not going to take much time i have a pride it s not goin take any time for the third time in a row you call me son this call is about a new state regulated final final expense insurance plan which covers a hundred percent,3,i m doing great for this is the third day in the row you ve called me and i don t want your business and it s not going to take much time i have a pride it s not goin take any time for the third time in a row you call me son this call is about a new state regulated final final expense insurance plan which covers a hundred percent,busy
1982,what calling me i,3,what calling me i,busy
1985,not your business hang up i don t like you to call,3,not your business hang up i don t like you to call,busy
1999,it now i,3,it now i,busy
2005,doing fine amy you ve only asked me that three times ttoda,3,doing fine amy you ve only asked me that three times ttoda,busy
2024,i m doing great can you shake me off yer do not call this please,3,i m doing great can you shake me off yer do not call this please,busy
2033,you re recording and you ve caught me about three times how about not doing any more thanks,3,you re recording and you ve caught me about three times how about not doing any more thanks,busy
2038,and take me off your list please i m i get five or six collars a day from this well letter for this call is about state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for the people the people on fixed income or social security would you like to learn more about could you send me i m on my way said the doctor right now did you send me something in the,3,and take me off your list please i m i get five or six collars a day from this well letter for this call is about state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for the people the people on fixed income or social security would you like to learn more about could you send me i m on my way said the doctor right now did you send me something in the,busy
2041,i want to play with your flowers,3,i want to play with your flowers,busy
2058,it no i m on now call with quick calling,3,it no i m on now call with quick calling,busy
2065,oh i get tired of these cos i m ninety seven years old i don t need anything,3,oh i get tired of these cos i m ninety seven years old i don t need anything,busy
2066,this is this is a a r p call do you know what is for no i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our product specialists can know mother there is there is somebody out there who thinks that i m a senior citizen this call is about a new state regulated final extremity thine man coming a hundred time of your burial funeral or cremation,3,this is this is a a r p call do you know what is for no i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our product specialists can know mother there is there is somebody out there who thinks that i m a senior citizen this call is about a new state regulated final extremity thine man coming a hundred time of your burial funeral or cremation,busy
2070,i m good i think i talked to you this morning great tahara about forger and expense insurance plan which covers a hundred percent of your burial or cremation expenses it is it is specifically designed for the people would you like,3,i m good i think i talked to you this morning great tahara about forger and expense insurance plan which covers a hundred percent of your burial or cremation expenses it is it is specifically designed for the people would you like,busy
2073,the better if you get off my danton this,3,the better if you get off my danton this,busy
2077,take off your list,3,take off your list,busy
2078,you ve called me about five times ttodayso,3,you ve called me about five times ttodayso,busy
2087,it do stop calling me,3,it do stop calling me,busy
2106,i m looking for a lover,3,i m looking for a lover,busy
2115,not worth a damn,3,not worth a damn,busy
2124,i m doing good in taking it great,3,i m doing good in taking it great,busy
2138,amy why you keep bother me you in love with me this call is about a new state regulated final expense insurance plan which covers only a funeral for cremation of it you shall be little bit young for me are you in love with me i earn more about can an old man for him i completely understand that but these new fordable plans have just been approved and made and everyone come on over,3,amy why you keep bother me you in love with me this call is about a new state regulated final expense insurance plan which covers only a funeral for cremation of it you shall be little bit young for me are you in love with me i earn more about can an old man for him i completely understand that but these new fordable plans have just been approved and made and everyone come on over,busy
2140,don t come no more this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral,3,don t come no more this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral,busy
2154,no one,3,no one,busy
2175,then check your breaking a collar idea you re using other people s numbers stop calling here,3,then check your breaking a collar idea you re using other people s numbers stop calling here,busy
2178,on your do not call it this call is about a new state regulated final expense insurance plan which covers a moral of new burial funeral or cremation expenses it is,3,on your do not call it this call is about a new state regulated final expense insurance plan which covers a moral of new burial funeral or cremation expenses it is,busy
2179,what the hell you call calling about,3,what the hell you call calling about,busy
2191,on subscribe please,3,on subscribe please,busy
2200,take me off,3,take me off,busy
2211,she does it me no i don t want to talk to you you did this about a dozen times i fear,3,she does it me no i don t want to talk to you you did this about a dozen times i fear,busy
2229,thank you very much for your quality is one i cannot make a fair competition i thank you,3,thank you very much for your quality is one i cannot make a fair competition i thank you,busy
2234,it i just told you last week about it ma am,3,it i just told you last week about it ma am,busy
2240,it no i have my own and i nothing i wish you was a quick hard mate i,3,it no i have my own and i nothing i wish you was a quick hard mate i,busy
2246,i m fine but i wish you people quit callin us we get so tired of it we can t stand it great,3,i m fine but i wish you people quit callin us we get so tired of it we can t stand it great,busy
2263,can you please tell me when are you going to stop calling me,3,can you please tell me when are you going to stop calling me,busy
2288,right but i don t name no incense for nothing please do not go this called,3,right but i don t name no incense for nothing please do not go this called,busy
2294,do not call this,3,do not call this,busy
2296,the pretty buck and god great,3,the pretty buck and god great,busy
2300,one quick column solemnly,3,one quick column solemnly,busy
2302,it no you re game i,3,it no you re game i,busy
2304,whoop calling of calling that,3,whoop calling of calling that,busy
2325,it no i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our product specialists can i can give you more information right now,3,it no i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our product specialists can i can give you more information right now,busy
2344,any of carlo four to this week already and he repeated her at its final expense i shall you vantage during your burial funeral or cremation expenses it is specifically de designed for the people on fixed income or social security would you like to learn more about it,3,any of carlo four to this week already and he repeated her at its final expense i shall you vantage during your burial funeral or cremation expenses it is specifically de designed for the people on fixed income or social security would you like to learn more about it,busy
2353,it no ma am i have enough for coverage i ve got fifteen thousand dollars in policy and i ve already called you once to tell you to take my name off the list but you you haven t done so so you re still calling,3,it no ma am i have enough for coverage i ve got fifteen thousand dollars in policy and i ve already called you once to tell you to take my name off the list but you you haven t done so so you re still calling,busy
2366,it actually no because i m inspector now i m actually inside another woman i,3,it actually no because i m inspector now i m actually inside another woman i,busy
2396,it you stop harassing me,3,it you stop harassing me,busy
2413,more about it now put me on a do not call list complete,3,more about it now put me on a do not call list complete,busy
2429,not really i ll call em a number thanks i completely understand that,3,not really i ll call em a number thanks i completely understand that,busy
2439,without that before he thought life,3,without that before he thought life,busy
2452,i m fine and i m not interested i wish you would please take her on a new all regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for the people on fixed income or social social security would you like to learn more about it no i completely understand that but the portable plants no don t you understand no,3,i m fine and i m not interested i wish you would please take her on a new all regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for the people on fixed income or social social security would you like to learn more about it no i completely understand that but the portable plants no don t you understand no,busy
2456,would you like to learn more about and what makes you think i m not pluck and old,3,would you like to learn more about and what makes you think i m not pluck and old,busy
2466,how many times you go to call,3,how many times you go to call,busy
2470,no earlier set me off your calling i completely understand that but these new fordable plans have just been urged in your state though to that of the columbia,3,no earlier set me off your calling i completely understand that but these new fordable plans have just been urged in your state though to that of the columbia,busy
2473,ah yes i would like more like you pussy you take the pussies,3,ah yes i would like more like you pussy you take the pussies,busy
2478,it no cause i guess by three all day on this thank you i,3,it no cause i guess by three all day on this thank you i,busy
2487,here lay my say so you say that you don t catch i see somebody dokate regulated final expense insurance plan which cut off a hundred percent of leria funeral or cremation expense you take a fate would you like to learn more about it,3,here lay my say so you say that you don t catch i see somebody dokate regulated final expense insurance plan which cut off a hundred percent of leria funeral or cremation expense you take a fate would you like to learn more about it,busy
2493,well he s not a senior citizen you should change it in your remove him move him from your list he is not a senior citizen so he is not interested in your brother so regulated final expense insurance plan which covers a hundred percent of your burial funeral,3,well he s not a senior citizen you should change it in your remove him move him from your list he is not a senior citizen so he is not interested in your brother so regulated final expense insurance plan which covers a hundred percent of your burial funeral,busy
2514,i ve asked five,3,i ve asked five,busy
2520,too i,3,too i,busy
2525,beatrice and michael with all state insurance can help you,3,beatrice and michael with all state insurance can help you,busy
2529,well i was doing i tell until i got you all i m trying to get you all to come to some gall in pence and so is a tale of your burial funeral i don t want any burial i ve explained that to you already we have our own cemetery i ve built my own casket all goods put me in the casket and put me in the ground covered up thank you o great this all about,3,well i was doing i tell until i got you all i m trying to get you all to come to some gall in pence and so is a tale of your burial funeral i don t want any burial i ve explained that to you already we have our own cemetery i ve built my own casket all goods put me in the casket and put me in the ground covered up thank you o great this all about,busy
