audio_tag,actual_english,class,cleaned_text,class_labels
6,oh not too bad,7,oh not too bad,greetings
6,oh hang on i m fine,7,oh hang on i m fine,greetings
5,yeah this is only the third or fourth call i ve had from you guys today ,4,yeah this is only the third or fourth call i ve had from you guys today ,dnc
16,just fine how are you,6,just fine how are you,greetback
6,o fine,7,o fine,greetings
4,i m really busy right now can you call back,3,i m really busy right now can you call back,busy
1,yeah ofcourse,11,yeah ofcourse,positive
6,i am doing good,7,i am doing good,greetings
6,very well,7,very well,greetings
6,oh could be better,7,oh could be better,greetings
10,i m eleven,10,i m eleven,other
6,i was doing alright,7,i was doing alright,greetings
10,i was asleep,10,i was asleep,other
10,what you need,10,what you need,other
6,i m happy,7,i m happy,greetings
5,its a business,4,its a business,dnc
6,yes good how can i help you ,7,yes good how can i help you ,greetings
5,little late for this stop playing it its almost nine  o  clock and you re doing a robo call get the hell off my phonne,4,little late for this stop playing it its almost nine  o  clock and you re doing a robo call get the hell off my phonne,dnc
6,i m doing fine how may i help you,7,i m doing fine how may i help you,greetings
16,i m doing fine how you doing,6,i m doing fine how you doing,greetback
6,i m fine for a ninety years old ,7,i m fine for a ninety years old ,greetings
6,im doing good,7,im doing good,greetings
10,hello yes mumbling say it again,10,hello yes mumbling say it again,other
5,oh i m damn here perfect how are you,4,oh i m damn here perfect how are you,dnc
10,oh i dont think i called you,10,oh i dont think i called you,other
9,no inglis,13,no inglis,spanish
15,rotten,12,rotten,sorry_greeting
5,i m just fine please do not call me back again,4,i m just fine please do not call me back again,dnc
16,i m doing just fine how about you,6,i m doing just fine how about you,greetback
6,doing fine what do you wanna know,7,doing fine what do you wanna know,greetings
6,hi i m good,7,hi i m good,greetings
10,hello i could hear you can you hear me,10,hello i could hear you can you hear me,other
5,shitty,4,shitty,dnc
10,twenty five,10,twenty five,other
16,i am doing okay you,6,i am doing okay you,greetback
10,new,10,new,other
6,good afternoon this is jack this is jack,7,good afternoon this is jack this is jack,greetings
10,do you know what time it is,10,do you know what time it is,other
16,mam i m doing great  how are you doing today ,6,mam i m doing great  how are you doing today ,greetback
9,do you speak spanish,13,do you speak spanish,spanish
1,i am i,11,i am i,positive
16,hello amy i m doing great amy how are you doing today,6,hello amy i m doing great amy how are you doing today,greetback
6,i am good,7,i am good,greetings
10,hello,10,hello,other
6,i m fine,7,i m fine,greetings
2,no thank you,8,no thank you,negative
5,okay that s the third time you ve called me today ,4,okay that s the third time you ve called me today ,dnc
10,what s on your mind,10,what s on your mind,other
6,hello um okay i made it to another day nope thankyou for calling ,7,hello um okay i made it to another day nope thankyou for calling ,greetings
6,i m doing just dandy,7,i m doing just dandy,greetings
10,i hear you,10,i hear you,other
16,right right doing good how about you,6,right right doing good how about you,greetback
14,amy the robot,2,amy the robot,bot
10,what s up yeah yeah although you re about it,10,what s up yeah yeah although you re about it,other
10,do you really care,10,do you really care,other
2,i don t know but i have talked to you three to four times in my house in the last week ,8,i don t know but i have talked to you three to four times in my house in the last week ,negative
10,well you know how old i am  ,10,well you know how old i am  ,other
6,fine and you,7,fine and you,greetings
15,not feeling so good,12,not feeling so good,sorry_greeting
9,me speak spanish,13,me speak spanish,spanish
10,i am a senior citizen,10,i am a senior citizen,other
4,i m driving right now how can i help you,3,i m driving right now how can i help you,busy
15,not good  wanna be left alone,12,not good  wanna be left alone,sorry_greeting
16,i m doing alright and you,6,i m doing alright and you,greetback
15,not too well,12,not too well,sorry_greeting
10,most days,10,most days,other
10,yeah i m here ,10,yeah i m here ,other
5,yeah sucking dicks and eating out chicks how are you,4,yeah sucking dicks and eating out chicks how are you,dnc
5,oh you do mumble fucking monkeys,4,oh you do mumble fucking monkeys,dnc
2,i m okay but i dont need no benefit,8,i m okay but i dont need no benefit,negative
16,i m doing fine darling how about you,6,i m doing fine darling how about you,greetback
1,yeah ,11,yeah ,positive
16,i m okay how you doing,6,i m okay how you doing,greetback
6,pretty good thank you,7,pretty good thank you,greetings
10,seriously,10,seriously,other
10,who was who,10,who was who,other
10,jargon,10,jargon,other
5,amy fuck that,4,amy fuck that,dnc
16,how are you doing ,6,how are you doing ,greetback
10,who are you,10,who are you,other
15,i am not good,12,i am not good,sorry_greeting
6,hello yes,7,hello yes,greetings
16,doing well how are you,6,doing well how are you,greetback
10,this was a long work,10,this was a long work,other
6,i m doing fine thankyou,7,i m doing fine thankyou,greetings
6,i was doing  good what do you selling what you wanna bum from me have a nice day ,7,i was doing  good what do you selling what you wanna bum from me have a nice day ,greetings
5,i d be better if you quit calling me five seven times a day,4,i d be better if you quit calling me five seven times a day,dnc
6,we re doing fine wish me goodluck seeing you soon sunday,7,we re doing fine wish me goodluck seeing you soon sunday,greetings
10,ohh resting,10,ohh resting,other
1,yes ,11,yes ,positive
6,i m alright talk to,7,i m alright talk to,greetings
5,hey you called me about 5 times a day so,4,hey you called me about 5 times a day so,dnc
6,i m fine what are you selling ,7,i m fine what are you selling ,greetings
10,what s that,10,what s that,other
1,i can,11,i can,positive
16,good amy how are you,6,good amy how are you,greetback
6,i m doing good why do you call,7,i m doing good why do you call,greetings
16,i dont know how are you,6,i dont know how are you,greetback
10,ah,10,ah,other
5,what s it all about you keep calling me,4,what s it all about you keep calling me,dnc
6,hello oh just wonderful kill me,7,hello oh just wonderful kill me,greetings
10,mumble,10,mumble,other
13,i m not interested i own the va take me up the call list,0,i m not interested i own the va take me up the call list,already_insured
16,i m fine how are you amy,6,i m fine how are you amy,greetback
15,not so good horrible,12,not so good horrible,sorry_greeting
6,i m alright i m just fine,7,i m alright i m just fine,greetings
2,before you pretty good,8,before you pretty good,negative
6,i m doing just fine just great,7,i m doing just fine just great,greetings
15,not good amy,12,not good amy,sorry_greeting
10,what do you gotta call at this time goodbye,10,what do you gotta call at this time goodbye,other
10,call disconnect,10,call disconnect,other
6,well okay,7,well okay,greetings
2,mumbling  but i can t hear you,8,mumbling  but i can t hear you,negative
5,oh my god i m done with you guys quit calling me,4,oh my god i m done with you guys quit calling me,dnc
10,what s your name,10,what s your name,other
2,i don t want an insurance,8,i don t want an insurance,negative
10,american senior citizens care i got a problem,10,american senior citizens care i got a problem,other
15,not feeling well how about you,12,not feeling well how about you,sorry_greeting
10,i just woke up mumbling,10,i just woke up mumbling,other
5,i m fucking tired,4,i m fucking tired,dnc
16,oh i m not so good how are you,6,oh i m not so good how are you,greetback
5,hi amy hi ok i talked to you before,4,hi amy hi ok i talked to you before,dnc
15,mam i m doing bad,12,mam i m doing bad,sorry_greeting
15,i m doing just my age mumble i dont have a good days anymore,12,i m doing just my age mumble i dont have a good days anymore,sorry_greeting
5,take me off your list please,4,take me off your list please,dnc
6,well alright,7,well alright,greetings
10,hang up,10,hang up,other
6,i m doing great ,7,i m doing great ,greetings
1,yeah ,11,yeah ,positive
15,i m not okay,12,i m not okay,sorry_greeting
16,oh no good how are you,6,oh no good how are you,greetback
10,i m really old and tired i wish i had some some sort of insurance,10,i m really old and tired i wish i had some some sort of insurance,other
6,oh i am good ,7,oh i am good ,greetings
6,i am fine hello hello,7,i am fine hello hello,greetings
6,i m doing really fine for eighty five years old,7,i m doing really fine for eighty five years old,greetings
10,same here,10,same here,other
6,i m very well thank you ,7,i m very well thank you ,greetings
16,i m doing good you,6,i m doing good you,greetback
6,pretty well,7,pretty well,greetings
5,i m doing fine don t call me no more,4,i m doing fine don t call me no more,dnc
7,i m off senior citizen,5,i m off senior citizen,dnq
16,not much well today lately how are you ,6,not much well today lately how are you ,greetback
6,well,7,well,greetings
14,you re a robot aren t yeah ,2,you re a robot aren t yeah ,bot
6,okay thank you,7,okay thank you,greetings
16,i m fine whats up,6,i m fine whats up,greetback
16,i m very good you,6,i m very good you,greetback
5,i m great don t fucking calling me anymore,4,i m great don t fucking calling me anymore,dnc
6,well i am fine,7,well i am fine,greetings
1,yes,11,yes,positive
10,what am i speaking with,10,what am i speaking with,other
10,um ah yes thank you,10,um ah yes thank you,other
6,i am doing fine thank you,7,i am doing fine thank you,greetings
6,i m good what can i do for you,7,i m good what can i do for you,greetings
6,good but is it important ,7,good but is it important ,greetings
6,yeah i m doing alright,7,yeah i m doing alright,greetings
5,no lemme talk to your fucking boss,4,no lemme talk to your fucking boss,dnc
15,miserable,12,miserable,sorry_greeting
8,but i m not interested in buying anything,9,but i m not interested in buying anything,not_intrested
10,uhh,10,uhh,other
5,please dont call,4,please dont call,dnc
5,amy you don t have to call this number anymore,4,amy you don t have to call this number anymore,dnc
6,fine fine what can i do for you,7,fine fine what can i do for you,greetings
5,bloody you called before please don t call again bye ,4,bloody you called before please don t call again bye ,dnc
10,call disconnected e,10,call disconnected e,other
5,we re not interested don t call ever back we re not interested ,4,we re not interested don t call ever back we re not interested ,dnc
14,amy are you real or are you a machine,2,amy are you real or are you a machine,bot
15,hello may i help you not too good ,12,hello may i help you not too good ,sorry_greeting
5,not worth a shit,4,not worth a shit,dnc
6,pretty good i dont need no help i am good,7,pretty good i dont need no help i am good,greetings
8,fine i m not interested,9,fine i m not interested,not_intrested
10,hello mumbling,10,hello mumbling,other
16,i m pretty good how are you,6,i m pretty good how are you,greetback
16,i m okay amy how you doing,6,i m okay amy how you doing,greetback
10,i m not a senior citizen yet i m only fifty six years of age and i m still working,10,i m not a senior citizen yet i m only fifty six years of age and i m still working,other
16,amy i am fine hope you re doing too,6,amy i am fine hope you re doing too,greetback
8,i m fine but i m not interested in this call mam,9,i m fine but i m not interested in this call mam,not_intrested
5,i want you to remove us from your call,4,i want you to remove us from your call,dnc
6,ohh pretty good,7,ohh pretty good,greetings
16,mumbling  how about yourself,6,mumbling  how about yourself,greetback
16,well and you,6,well and you,greetback
16,i m good how you doing,6,i m good how you doing,greetback
6,i m great amy,7,i m great amy,greetings
16,i m okay how about yourself,6,i m okay how about yourself,greetback
8,mam i am sorry but i am not interested thank you,9,mam i am sorry but i am not interested thank you,not_intrested
10,what do you want ,10,what do you want ,other
6,pretty  good,7,pretty  good,greetings
5,i m military,4,i m military,dnc
16,i am doing are you,6,i am doing are you,greetback
5,don t call no more,4,don t call no more,dnc
6,i m doing fine what you need,7,i m doing fine what you need,greetings
10,beg your pardon,10,beg your pardon,other
5,i m alright this is john good from sherrifs department what can i do for you ,4,i m alright this is john good from sherrifs department what can i do for you ,dnc
6,alright  pretty good,7,alright  pretty good,greetings
8,i am doing fine and i don t need anything,9,i am doing fine and i don t need anything,not_intrested
10,fine until you called goodbye,10,fine until you called goodbye,other
6,i m good amy what do you want,7,i m good amy what do you want,greetings
10,what do you mean,10,what do you mean,other
10,hi pretty,10,hi pretty,other
6,i am fabulous,7,i am fabulous,greetings
1,yeah i think,11,yeah i think,positive
6,i m doing pretty good but i m too young to get it,7,i m doing pretty good but i m too young to get it,greetings
5,yeah amy quit calling my damn phone mumbling you keep calling my phone from different numbers have a good day ,4,yeah amy quit calling my damn phone mumbling you keep calling my phone from different numbers have a good day ,dnc
16,great how are you amy,6,great how are you amy,greetback
6,good can you hold on,7,good can you hold on,greetings
10,still in the bed,10,still in the bed,other
10,i am ninety years old and upset,10,i am ninety years old and upset,other
1,ahan,11,ahan,positive
10,what are you callig with regard to,10,what are you callig with regard to,other
15,lazy,12,lazy,sorry_greeting
6,i m fine ,7,i m fine ,greetings
8,i m doing good thank you but i am not interested okay,9,i m doing good thank you but i am not interested okay,not_intrested
6,yeah i m fine,7,yeah i m fine,greetings
6,i am doing pretty good,7,i am doing pretty good,greetings
6,i am doing great ,7,i am doing great ,greetings
4,i am in hospital,3,i am in hospital,busy
5,well i was doing great until i ve a fake and i was feeling huh  ,4,well i was doing great until i ve a fake and i was feeling huh  ,dnc
15,i died,12,i died,sorry_greeting
6,thank you for calling have a good day bye,7,thank you for calling have a good day bye,greetings
6,very good thank you what do you need,7,very good thank you what do you need,greetings
6,uh good good now how can i help you,7,uh good good now how can i help you,greetings
6,i m okay what do you want ,7,i m okay what do you want ,greetings
5,just fine i ll do better if you just quit calling here no more calls please goodbye,4,just fine i ll do better if you just quit calling here no more calls please goodbye,dnc
6,i m fine what do you wanna sell,7,i m fine what do you wanna sell,greetings
6,pretty good mam i m okay,7,pretty good mam i m okay,greetings
6,hey i m alright,7,hey i m alright,greetings
5,amy  will you suck my cock,4,amy  will you suck my cock,dnc
6,pretty good amy what state is this for,7,pretty good amy what state is this for,greetings
6,i m doing fine someone called me the other day,7,i m doing fine someone called me the other day,greetings
6,oh i m doing well,7,oh i m doing well,greetings
16,i m doing alright how you doing,6,i m doing alright how you doing,greetback
10,thank you yes go ahead,10,thank you yes go ahead,other
5,i m not a senior citizen you can take my name off your list please,4,i m not a senior citizen you can take my name off your list please,dnc
6,doing fine so far,7,doing fine so far,greetings
10,what are you selling ,10,what are you selling ,other
16,fine you say,6,fine you say,greetback
5,amy i dont need anything can you leave me alone please,4,amy i dont need anything can you leave me alone please,dnc
6,reasonable,7,reasonable,greetings
6,i m alright i aint call nobody but i m alright,7,i m alright i aint call nobody but i m alright,greetings
5,i m doing good i m taking a shit,4,i m doing good i m taking a shit,dnc
6,hello hello,7,hello hello,greetings
10,who is this ,10,who is this ,other
4,started the gaming,3,started the gaming,busy
10,what is this senior citizens care,10,what is this senior citizens care,other
2,not too good,8,not too good,negative
10,what you need amy,10,what you need amy,other
4,i m working what do you need ,3,i m working what do you need ,busy
6,hello fine hello yes yes yes yes ,7,hello fine hello yes yes yes yes ,greetings
6,i am doing alright it  raining,7,i am doing alright it  raining,greetings
6,i m doing wonderful for an old man,7,i m doing wonderful for an old man,greetings
2,i don t really mumble,8,i don t really mumble,negative
5,don t call it hey i don t know y,4,don t call it hey i don t know y,dnc
14,amy you re a computer why are you even calling me,2,amy you re a computer why are you even calling me,bot
2,hello no thankyou ,8,hello no thankyou ,negative
10,how can i help you,10,how can i help you,other
6,i am doing alright its for me i am doing alright,7,i am doing alright its for me i am doing alright,greetings
16,fine how are you,6,fine how are you,greetback
10,i m doing  thank you,10,i m doing  thank you,other
6,hello yeah i m doing good bye ,7,hello yeah i m doing good bye ,greetings
9,sorry no english,13,sorry no english,spanish
2,not good,8,not good,negative
10,well i am just old,10,well i am just old,other
8,yes i am doing fine but i dont wanna hear one of these calls ,9,yes i am doing fine but i dont wanna hear one of these calls ,not_intrested
6,i am fine  yes how you want it now,7,i am fine  yes how you want it now,greetings
8,we are doing great and we don t need any care we re gonna plan on doing wonderful for the next three years you have a good day,9,we are doing great and we don t need any care we re gonna plan on doing wonderful for the next three years you have a good day,not_intrested
16,i m doing great hope you are,6,i m doing great hope you are,greetback
6,i m doing fine bye,7,i m doing fine bye,greetings
6,pretty good,7,pretty good,greetings
6,i m doing fine amy tell me   mumbling,7,i m doing fine amy tell me   mumbling,greetings
6,i m alright amy,7,i m alright amy,greetings
1,yeah i make money,11,yeah i make money,positive
16,oh girl how you doing,6,oh girl how you doing,greetback
6,i am fit,7,i am fit,greetings
16,i m just fine how about you,6,i m just fine how about you,greetback
6,i m doing fine you with whom,7,i m doing fine you with whom,greetings
10,are you to make your own decision,10,are you to make your own decision,other
5,fine but i m not interested i already have children i m happy with so don t call me anymore,4,fine but i m not interested i already have children i m happy with so don t call me anymore,dnc
10,we dont uh american junior what,10,we dont uh american junior what,other
5,hello may i help you can you quit calling please,4,hello may i help you can you quit calling please,dnc
6,i m feeling good,7,i m feeling good,greetings
6,good thankyou,7,good thankyou,greetings
8,i m doing fine and i don t need anymore care,9,i m doing fine and i don t need anymore care,not_intrested
15,terrible,12,terrible,sorry_greeting
4,alright  but i m busy right at the moment i won t be able to listen to you you,3,alright  but i m busy right at the moment i won t be able to listen to you you,busy
6,i m good amy thank you mam,7,i m good amy thank you mam,greetings
16,i m doing fine you,6,i m doing fine you,greetback
6,oh i m doing wonderful,7,oh i m doing wonderful,greetings
16,how are you amy,6,how are you amy,greetback
7,not feeling old what can i do for you,5,not feeling old what can i do for you,dnq
5,hello hello i m very cool don t call me again you call all the time stop calling me goodbye,4,hello hello i m very cool don t call me again you call all the time stop calling me goodbye,dnc
16,good good how are you,6,good good how are you,greetback
6,amy i m doing great,7,amy i m doing great,greetings
6,i m doing fine mam,7,i m doing fine mam,greetings
10,am eighty one,10,am eighty one,other
4,i m working,3,i m working,busy
2,no mumbling,8,no mumbling,negative
6,a pretty good,7,a pretty good,greetings
8,not interested thank you,9,not interested thank you,not_intrested
2,i don t need any help,8,i don t need any help,negative
6,i m doing alright,7,i m doing alright,greetings
6,well the sun is shining you have to be doing good what can i do for you,7,well the sun is shining you have to be doing good what can i do for you,greetings
5,god you got nice tits ,4,god you got nice tits ,dnc
6,i am good fine amy but thanks anyway,7,i am good fine amy but thanks anyway,greetings
6,alright forteen year i m okay,7,alright forteen year i m okay,greetings
10,mam what is this that you calling me about,10,mam what is this that you calling me about,other
6,i m good,7,i m good,greetings
1,i hope so,11,i hope so,positive
5,hello yes thankyou very much for the call mumbling i don t i cannot mumbling take this conversation mumbling thankyou ,4,hello yes thankyou very much for the call mumbling i don t i cannot mumbling take this conversation mumbling thankyou ,dnc
16,hi amy how are you,6,hi amy how are you,greetback
5,i m fine but i wish you put on the do not call list,4,i m fine but i wish you put on the do not call list,dnc
16,terrible sup,6,terrible sup,greetback
5,doing but dont call me,4,doing but dont call me,dnc
10,you what,10,you what,other
6,i am doing alright who do you want to speak to,7,i am doing alright who do you want to speak to,greetings
6,alright,7,alright,greetings
10,how can i help you ,10,how can i help you ,other
5,what hell,4,what hell,dnc
6,ah i m fine,7,ah i m fine,greetings
6,pretty good but i m only twenty seven years old,7,pretty good but i m only twenty seven years old,greetings
5,i no told you this quit calling me today,4,i no told you this quit calling me today,dnc
9,hello excuse me ma am my wife speaking spanish mumbling wife speaking spanish,13,hello excuse me ma am my wife speaking spanish mumbling wife speaking spanish,spanish
4,hello no i don t have time to talk thankyou ,3,hello no i don t have time to talk thankyou ,busy
10,fine i don t know why you re calling me though,10,fine i don t know why you re calling me though,other
6,i m blessed i m good,7,i m blessed i m good,greetings
4,i m kind of busy right now mam,3,i m kind of busy right now mam,busy
16,i m okay you,6,i m okay you,greetback
6,i m very well,7,i m very well,greetings
14,amy are you real,2,amy are you real,bot
6,oh i am doing fine,7,oh i am doing fine,greetings
6,i m doing pretty good,7,i m doing pretty good,greetings
8,doing fine  but not interested,9,doing fine  but not interested,not_intrested
5,remove from your list,4,remove from your list,dnc
6,doing good thank you,7,doing good thank you,greetings
10,return or reach amy,10,return or reach amy,other
10,call disconnected ,10,call disconnected ,other
6,fine  no english,7,fine  no english,greetings
10,i m ninety five ,10,i m ninety five ,other
6,ahh pretty good,7,ahh pretty good,greetings
6,fine what you want,7,fine what you want,greetings
16,pretty good how about yourself,6,pretty good how about yourself,greetback
6,i m fine bud,7,i m fine bud,greetings
5,who is this sad ass ,4,who is this sad ass ,dnc
6,okay ,7,okay ,greetings
10,i m sorry bye bye,10,i m sorry bye bye,other
8,fine but i dont want any insurance or anything right now thank you bye,9,fine but i dont want any insurance or anything right now thank you bye,not_intrested
6,i m blessed,7,i m blessed,greetings
1,yes hello ,11,yes hello ,positive
16,i m good how are you,6,i m good how are you,greetback
16,i don t know how are you doing,6,i don t know how are you doing,greetback
15,not real good,12,not real good,sorry_greeting
4,at work,3,at work,busy
4,hello um i m at work thankyou um not at this time thankyou yes um not at this time thankyou,3,hello um i m at work thankyou um not at this time thankyou yes um not at this time thankyou,busy
16,doing fine mam how about you,6,doing fine mam how about you,greetback
5,i dont take crap calls on my cellphone where it costs me minutes,4,i dont take crap calls on my cellphone where it costs me minutes,dnc
1,yes ,11,yes ,positive
5,go fuck yourself,4,go fuck yourself,dnc
8,mam i m not interested,9,mam i m not interested,not_intrested
10,who s there ,10,who s there ,other
4,i m alright  i m about to make dinner,3,i m alright  i m about to make dinner,busy
15,not particularly good,12,not particularly good,sorry_greeting
6,fine,7,fine,greetings
5,i m alright but you ve called me one time i m not interested,4,i m alright but you ve called me one time i m not interested,dnc
2,alright but i need no insurance amy ,8,alright but i need no insurance amy ,negative
10,am i talking to amy,10,am i talking to amy,other
6,pretty good ,7,pretty good ,greetings
1,yup,11,yup,positive
6,hi amy i m doing great,7,hi amy i m doing great,greetings
16,i m fine how you doing,6,i m fine how you doing,greetback
16,i m just speaking how are you,6,i m just speaking how are you,greetback
16,amy with senior citizen care i m fine how are you,6,amy with senior citizen care i m fine how are you,greetback
10,thirsty,10,thirsty,other
6,i m doing okay maybe,7,i m doing okay maybe,greetings
16,i am great hope you are,6,i am great hope you are,greetback
1,yes ma am,11,yes ma am,positive
5,just my ass,4,just my ass,dnc
15,i am not good amy dead sick,12,i am not good amy dead sick,sorry_greeting
6,okay i m okay what is this,7,okay i m okay what is this,greetings
15,not doing alright,12,not doing alright,sorry_greeting
6,lovely,7,lovely,greetings
6,oh i m fine amy,7,oh i m fine amy,greetings
5,i told you don t call 5 times,4,i told you don t call 5 times,dnc
1,i would think so i have to make them all,11,i would think so i have to make them all,positive
10,i m so so,10,i m so so,other
8,i m doing fine i really dont need your services,9,i m doing fine i really dont need your services,not_intrested
2,no,8,no,negative
6,i am well,7,i am well,greetings
10,are you selling insurance,10,are you selling insurance,other
6,alright thank you,7,alright thank you,greetings
5,amy get outta here and don t call me do you hear me,4,amy get outta here and don t call me do you hear me,dnc
9,no english,13,no english,spanish
