link,sentence
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-183808_7705737110-all.mp3,Hello. Hi this is Amy with American Senior Citizen's Care. How are you doing today. Ok. What can I do for you. Ok this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. I'm not ready for cremation yet. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. Hello. To qualify you for the plan are you between the age of forty and eighty. I am still alive. I'm alive. I can bring my product specialist on the line and he can give you more information about it ok. No no no no thank you please take me out. 
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-183814_8282917535-all.mp3,Hello. Yes. Hi this is Amy with American Senior Citizen's Care. How are you doing today. I'm fine how are you. This call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. To qualify you for the plan are you between the age of forty and eighty. Say that again please. I'm seventy nine. I can bring my product specialist on the line and he can give you more information about it ok. Sure.
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-183816_2155361365-all.mp3,Hello. Yes. Hi this is Amy with American Senior Citizen's Care. How are you doing today. I'm fine. Ok. This call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. No ma'am. I completely understand that but these new affordable plans have just been approved in your state and everyone qualifies. So our product specialist can give you more information right now. If you like the prices you can go on otherwise no obligation on your part ok. To qualify you for the plan are you between the age of forty and eighty. 
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-183818_4154128054-all.mp3,Hello. Hi. Hi this is Amy with American Senior Citizen's Care. How are you doing today. I'm doing fine. Ok. This call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. No. I completely understand that but these new affordable plans have just been approved in your state and everyone qualifies. So our product specialist can give you more information right now. If you like the prices you can go on otherwise no obligation on your part ok. That's ok. No thank you bye bye. To qualify you for the plan are you between the age of forty and eighty. 
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-183842_8439950254-all.mp3,Hello. Hello. Hi this is Amy with American Senior Citizen's Care. How are you doing today. Doing pretty good amy. Ok. This call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. Twenty years ago. To qualify you for the plan are you between the age of forty and eighty. I can bring my product specialist on the line and he can give you more information about it ok. 
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-183907_4075150692-all.mp3,Hello. Hello. Hi this is Amy with American Senior Citizen's Care. How are you doing today. Hello. This call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. To qualify you for the plan are you between the age of forty and eighty. Can you hear me. Can you hear me.
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-183922_6019690713-all.mp3,Hello. Hello. Hi this is Amy with American Senior Citizen's Care. How are you doing today. I'm doing fine. Ok this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. No I am not. I completely understand that but these new affordable plans have just been approved in your state and everyone qualifies. So our product specialist can give you more information right now. If you like the prices you can go on otherwise no obligation on your part ok. To qualify you for the plan are you between the age of forty and eighty.
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-183959_8038424995-all.mp3,Hello. Hello. Hi this is Amy with American Senior Citizen's Care. How are you doing today. I'm good. Can you hear me. Yes ma'am. This call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. Sorry I can't hear you. To qualify you for the plan are you between the age of forty and eighty.
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-184031_9107692260-all.mp3,Hello. Hello. Who is this. Hi this is Amy with American Senior Citizen's Care. How are you doing today. Sitting down. This call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. No I don't wanna know about it. To qualify you for the plan are you between the age of forty and eighty. I don't wanna miss I've told you I don't wanna hear. I don't wanna do it. I already told you there. Say that again please. I said I don't wanna hear I don't wanna do it that's what I have for you. I can bring my product specialist on the line and he can give you more information about it ok. I wanna know no information. I wanna know nothing about it. That's it.
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-184031_5708990827-all.mp3,Hello. Hi this is Amy with American Senior Citizen's Care. How are you doing today. You've got the wrong number. This call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. No. I completely understand that but these new affordable plans have just been approved in your state and everyone qualifies. Not old enough. So our product specialist can give you more information right now. If you like the prices you can go on otherwise no obligation on your part ok. No. To qualify you for the plan are you between the age of forty and eighty. No.
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-184112_7132329264-all.mp3,Hello. Hi this is Amy with American Senior Citizen's Care. How are you doing today. I'm good how you doing. This call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. I completely understand that but these new affordable plans have just been approved in your state and everyone qualifies. So our product specialist can give you more information right now. If you like the prices you can go on otherwise no obligation on your part ok. To qualify you for the plan are you between the age of forty and eighty. Say that again please. I'm one hundred.
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-184119_3193590017-all.mp3,Hello. Yeah hello. Hi this is Amy with American Senior Citizen's Care. How are you doing today. Doing good. This call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. No. I completely understand that but these new affordable plans have just been approved in your state and everyone qualifies. So our product specialist can give you more information right now. If you like the prices you can go on otherwise no obligation on your part ok. Ok um. To qualify you for the plan are you between the age of forty and eighty. Yeah . I can bring my product specialist on the line and he can give you more information about it ok. Ok.
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-184121_2819331846-all.mp3,Hello. However communication is that key to understand it. Therefore if you understand this do your part and i'll get back to you just as soon as possible thank you have a blessed day. Hi this is Amy with American Senior Citizen's Care. How are you doing today. This call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. To review or re record your message press one. To mark your message urgent press two. To mark your message private press three. To send your message as it is press. To qualify you for the plan are you between the age of forty and eighty. To review or re record your message press one. To mark your message urgent press two. To mark your message private press three. To send your message as it is press the key. Say that again please. To review or re record your message press one. To mark your message urgent press two. To mark your message private press three. To send your message as it is press the key. I can bring my product specialist on the line and he can give you more information about it ok. Enter the area code and phone number of that subscriber or press the star key to enter your own mailbox.
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-184122_3183882099-all.mp3,Hello. Hi this is Amy with American Senior Citizen's Care. How are you doing today. This call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. No not right now. I completely understand that but these new affordable plans have just been approved in your state and everyone qualifies. So our product specialist can give you more information right now. If you like the prices you can go on otherwise no obligation on your part ok. To qualify you for the plan are you between the age of forty and eighty. Can you call me back another day because right now i'm not feeling so good. Say that again please. I can bring my product specialist on the line and he can give you more information about it ok. No not right now.
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-184145_9049661877-all.mp3,Hello. Yeah. Hi this is Amy with American Senior Citizen's Care. How are you doing today. I'm doing good how about you. Ok. This call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. No. I completely understand that but these new affordable plans have just been approved in your state and everyone qualifies. So our product specialist can give you more information right now. If you like the prices you can go on otherwise no obligation on your part ok. No. To qualify you for the plan are you between the age of forty and eighty. I'm eighty five. Say that again please. I'm eighty five. 
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-184150_5306050336-all.mp3,Hello. Hi this is Amy with American Senior Citizen's Care. How are you doing today. Terrible. Ok. This call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. No. I completely understand that but these new affordable plans have just been approved in your state and everyone qualifies. So our product specialist can give you more information right now. If you like the prices you can go on otherwise no obligation on your part ok. No. To qualify you for the plan are you between the age of forty and eighty. No.
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-184152_2564043878-all.mp3,Hello. Hi. Hi this is Amy with American Senior Citizen's Care. How are you doing today. This call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. Yeah. To qualify you for the plan are you between the age of forty and eighty. Yeah. I can bring my product specialist on the line and he can give you more information about it ok. Alright.
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-184205_9374594785-all.mp3,Hello. Hello. Hi this is Amy with American Senior Citizen's Care. How are you doing today. Well I'm doing ok how are you. Ok this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. No. I completely understand that but these new affordable plans have just been approved in your state and everyone qualifies. So our product specialist can give you more information right now. If you like the prices you can go on otherwise no obligation on your part ok. No. To qualify you for the plan are you between the age of forty and eighty. No.
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-184208_6013660404-all.mp3,Hello. Hello. Hi this is Amy with American Senior Citizen's Care. How are you doing today. I'm doing fine thank you. This call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. No because I am too old for you talked about it. I completely understand that but these new affordable plans have just been approved in your state and everyone qualifies. So our product specialist can give you more information right now. If you like the prices you can go on otherwise no obligation on your part ok. To qualify you for the plan are you between.
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-184229_8285362090-all.mp3,Hello. Hello. Hi this is Amy with American Senior Citizen's Care. How are you doing today. Good. This call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. No i guess not. I completely understand that but these new affordable plans have just been approved in your state and everyone qualifies. So our product specialist can give you more information right now. If you like the prices you can go on otherwise no obligation on your part ok. To qualify you for the plan are you between the age of forty and eighty.
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-184244_2152237224-all.mp3,Hello. Hello. Hi this is Amy with American Senior Citizen's Care. How are you doing today. Good. This call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. No miss. Take me off your calling list. To qualify you for the plan are you between the age of forty and eighty. Why are you still calling. I said take me off your calling list. Take me off your calling list. Don't put me on your calling list. Say that again please. Don't put me on your calling list no more. Take me out.
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-184245_9042610431-all.mp3,Hello. Hello. Hi this is Amy with American Senior Citizen's Care. How are you doing today. This call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. Yeah. To qualify you for the plan are you between the age of forty and eighty. Hm hm. Say that again please. I said hm hm. I can bring my product specialist on the line and he can give you more information about it ok.
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-184251_2019630050-all.mp3,Hello. Yes. Hi this is Amy with American Senior Citizen's Care. How are you doing today. Fine but they are not here right now so again you have to wait to come in to talk to them sorry. This call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. Hello. Hello. To qualify you for the plan are you between the age of forty and eighty. Can you hear me.
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-184255_9099301110-all.mp3,Hello. Hello. Hi this is Amy with American Senior Citizen's Care. How are you doing today. This call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. No no. I completely understand that but these new affordable plans have just been approved in your state and everyone qualifies. So our product specialist can give you more information right now. If you like the prices you can go on otherwise no obligation on your part ok. To qualify you for the plan are you between the age of forty and eighty. Can you hear me.
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-184259_3135382327-all.mp3,Hello. Yes. Hi this is Amy with American Senior Citizen's Care. How are you doing today. I'm doing alright. Ok. This call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. How much would that be. To qualify you for the plan are you between the age of forty and eighty. Yes. I can bring my product specialist on the line and he can give you more information about it ok. Well I wanna.
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-184300_8036352876-all.mp3,Hello. Hi this is Amy with American Senior Citizen's Care. How are you doing today. Good how are you. This call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. No I am on a fixed income. I completely understand that but these new affordable plans have just been approved in your state and everyone qualifies. So our product specialist can give you more information right now. If you like the prices you can go on otherwise no obligation on your part ok. Ok. To qualify you for the plan are you between the age of forty and eighty. Yes. I can bring my product specialist on the line and he can give you more information about it ok. Ok. 
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-184319_7656640522-all.mp3,Hello. Hello. Hi this is Amy with American Senior Citizen's Care. How are you doing today. Well i'm doing fine. Ok this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. No and I don't know why you keep calling me. I completely understand that but these new affordable plans have just been approved in your state and everyone qualifies. Calling me. I don't want you to call me. To qualify you for the plan are you between the age of forty and eighty. You understand. Say that again please. I do not want you to call me again do you understand. Never again.
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-184324_6153703377-all.mp3,Hello. Who's calling. Hi this is Amy with American Senior Citizen's Care. How are you doing today. This call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. I've got my insurance. To qualify you for the plan are you between the age of forty and eighty. I don't need it thank you. Say that again please. Can you hear me. 
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-184339_3213836009-all.mp3,Hello. Hello good evening. Hi this is Amy with American Senior Citizen's Care. How are you doing today. Fine. How are you doing. You have a beautiful smile in your voice young lady. This call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. No I already have funeral coverage it's already taken care of. thank you. I understand and it's great that you are thinking ahead but as you know that the cost of funeral has increased over the years and we would like to show you some comparable options to assure you that you are getting the best value for your dollar. It won't be necessary To qualify you for the plan are you between the age of forty and eighty. Eighty two. Say that again please. Eighty two. 
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-184347_9852103734-all.mp3,Hello. Hello yeah. Hi this is Amy with American Senior Citizen's Care. How are you doing today. I'm doing alright amy your mama knows you out there scam people your grandma knows what you do. This call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. Scamming. To qualify you for the plan are you between the age of forty and eighty. I'm everything I need to be. Quit trying to scam me. Say that again please. I said quit trying to scam me. I can bring my product specialist on the line and he can give you more information about it ok.
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-184356_2146033670-all.mp3,Hello. Hello. Hi this is Amy with American Senior Citizen's Care. How are you doing today. Bad pretty bad. This call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. No. I completely understand that but these new affordable plans have just been approved in your state and everyone qualifies. So our product specialist can give you more information right now. If you like the prices you can go on otherwise no obligation on your part ok. To qualify you for the plan are you between the age of forty and eighty. Yes. Say that again please. Yes. I can bring my product specialist on the line and he can give you more information about it ok. Ok.
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-184356_3134546885-all.mp3,Hello. Hello. Hi this is Amy with American Senior Citizen's Care. How are you doing today. Pretty good. I'm doing ok. This call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. Yeah. To qualify you for the plan are you between the age of forty and eighty. No. I'm ninety years old. Say that again please. I said I'm ninety three years old. I can bring my product specialist on the line and he can give you more information about it ok. Alright.
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-184413_7154746683-all.mp3,Hello. Hello. Hi this is Amy with American Senior Citizen's Care. How are you doing today. Ok. This call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. No I already have everything taken care of thank you. To qualify you for the plan are you between the age of forty and eighty. I can bring my product specialist on the line and he can give you more information about it ok. 
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-184455_2024039508-all.mp3,Hello. Hello. Hi this is Amy with American Senior Citizen's Care. How are you doing today. Hi i'm doing good how are you today. Ok this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. Oh yeah. Oh yeah I certainly am. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. Hello. Hello. To qualify you for the plan are you between the age of forty and eighty. Hello. Say that again please. It's a little choppy but I hear you now. You wanna start over. I can bring my product specialist on the line and he can give you more information about it ok. 
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-184556_3134998006-all.mp3,Hello. Hello. Hi this is Amy with American Senior Citizen's Care. How are you doing today. Not too good. This call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. No not at the moment. I completely understand that but these new affordable plans have just been approved in your state and everyone qualifies. So our product specialist can give you more information right now. If you like the prices you can go on otherwise no obligation on your part ok. What what what prices is there and what state are you talking about. To qualify you for the plan are you between the age of forty and eighty. No. I can bring my product specialist on the line and he can give you more information about it ok. Yeah.
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-184559_2293093993-all.mp3,Hello. Hello. Hi this is Amy with American Senior Citizen's Care. How are you doing today. I'm doing alright. This call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. Yes. To qualify you for the plan are you between the age of forty and eighty. Say that again please. I can bring my product specialist on the line and he can give you more information about it ok. 
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-184604_9708464895-all.mp3,Hello. Hi this is Amy with American Senior Citizen's Care. How are you doing today. I'm good how are you. Ok this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. Yes. To qualify you for the plan are you between the age of forty and eighty. Yes. I can bring my product specialist on the line and he can give you more information about it ok. Ok.
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-184605_9542688077-all.mp3,Hello. Hi this is Amy with American Senior Citizen's Care. How are you doing today. Fine. This call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. No. I completely understand that but these new affordable plans have just been approved in your state and everyone qualifies. So our product specialist can give you more information right now. If you like the prices you can go on otherwise no obligation on your part ok. Ok. To qualify you for the plan are you between the age of forty and eighty. Can you hear me.
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-184608_3368808160-all.mp3,Hello. Yes what do you want. Hi this is Amy with American Senior Citizen's Care. How are you doing today. Fine. This call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. No because I don't have my burial insurance and. I completely understand that but these new affordable plans have just been approved in your state and everyone qualifies. So our product specialist can give you more information right now. If you like the prices. No. I don't want that do you understand. To qualify you for the plan are you between the age of forty and eighty. Mind your damn business. Say that again please. Mind your business.
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-184608_5594083343-all.mp3,Hello. Record your message. Hi this is Amy with American Senior Citizen's Care. How are you doing today. This call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. If you are satisfied with your message press one. To listen to your message press two. To erase and re record press three. To continue recording where you left off press four. To qualify you for the plan are you between the age of forty and eighty. Are you still there. If you are satisfied with your message press 1. To listen to your message press 2. To erase and re record press 3. To continue recording where you left off press 4. Say that again please. Are you still there. If you are satisfied with your message press 1. To listen to your message press 2. To erase and re record press 3. To continue recording where you left off press 4. I can bring my product specialist on the line and he can give you more information about it ok. Message has been sent goodbye.
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-184615_4077042270-all.mp3,Hello. Yes. Hi this is Amy with American Senior Citizen's Care. How are you doing today. I'm Ok. Can you hear me. This call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. No. No. I completely understand that but these new affordable plans have just been approved in your state and everyone qualifies. So our product specialist can give you more information right now. If you like the prices you can go on otherwise no obligation on your part ok. To qualify you for the plan are you between the age of forty and eighty. Yes. Can you hear me. Yes I hear you. I can bring my product specialist on the line and he can give you more information about it ok. No. No. No.
http://testing.avatarpro.co.uk/RECORDINGS/MP3/20220603-184639_4242872351-all.mp3,Hello. Hello. Hi this is Amy with American Senior Citizen's Care. How are you doing today. I'm doing Ok. Who is this again. Ok this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses. It is specifically designed for the people on fixed income or social security. Would you like to learn more about it. It's all paid for thank you bye. To qualify you for the plan are you between the age of forty and eighty. 
